"","country","year","N_area","Nt_area","yield","suit","cropsuit","manure_area","netcap_area","netcap14_area","market"
"1","Albania",2000,1187367.77938097,0.033112582781457,46238238.218543,33.9282890377,43.40924422,225.118972516556,0.00754685430463576,0.0104901274834437,3967.34828342
"2","Albania",2006,844143.545903435,0.0235409563309296,54107040.6272109,33.9282890377,43.4066224,277.150988319208,0.0177610852019232,0.0209580805382694,3965.67075793
"3","Albania",2010,714125.081896514,0.0199150813263108,72211325.4645116,33.9282890377,43.41224559,243.594943991567,0.0200296556570625,0.0216320281096275,3964.61944502
"4","Albania",2014,797895.037816958,0.0222512063653959,74700036.7147432,33.9282890377,43.36641,256.508199886794,0.0264601021716857,0.0264601021716857,3959.83220937
"5","Algeria",2000,208438.19068469,0.007039941990878,14958664.3473789,2.86557892393,35.181664,16.2610799975008,0.000966557635565083,0.00134351511343547,2176.60181973
"6","Algeria",2006,567101.04980664,0.0191536804291499,22702960.2413144,2.86557892393,34.18133964,7.46147877743649,0.000804619470696089,0.000949450975421386,2134.81595413
"7","Algeria",2010,452140.561690408,0.015270921876493,23068910.0420477,2.86557892393,33.46725117,7.41491418564163,0.00126957048360977,0.00137113612229855,2097.49995528
"8","Algeria",2014,547078.103377978,0.0184774109754514,23264665.5708712,2.86557892393,33.27097213,9.35920056378787,0.00172254325534727,0.00172254325534727,2084.96817257
"9","Argentina",2000,473139.05036986,0.0159801399987281,40158569.7331778,27.6027941431,52.88447241,6.8361733941311,0.000803395101752383,0.00111671919143581,2221.23388752
"10","Argentina",2006,723911.471819777,0.0244499088741931,42525175.2749156,27.6027941431,53.13945028,6.20376025663117,0.000650579768135216,0.000767684126399555,2190.09779628
"11","Argentina",2010,712329.324711447,0.0240587250728723,49004357.315865,27.6027941431,53.16904473,5.93029360850029,0.000931187164110415,0.00100568213723925,2184.03912312
"12","Argentina",2014,554020.058530689,0.0187118735824133,49165772.6401375,27.6027941431,53.18191145,5.62817258731427,0.00116307788848466,0.00116307788848466,2177.63480758
"13","Australia",2000,1286054.33199026,0.0434361278256565,29233641.124899,26.2187319819,34.72650342,8.09650890098489,0.00232493290417434,0.00323165673680233,6101.16828325
"14","Australia",2006,913971.983442037,0.0308691498596483,31530381.8768827,26.2187319819,34.90572559,8.12590786680184,0.00421069005375802,0.00496861426343446,6030.95560236
"15","Australia",2010,913277.344790609,0.0308456886321515,24981427.9717909,26.2187319819,34.90663251,6.77244771230032,0.00534293427318344,0.00577036901503812,6023.24003096
"16","Australia",2014,1375841.21736081,0.0464686549382454,31364826.3237953,26.2187319819,34.94311734,7.7182144730228,0.00597937069640022,0.00597937069640022,6016.41354088
"17","Austria",2000,3361763.87580394,0.116786716541464,75642515.8059417,30.1881144991,58.79635789,125.477103162745,0.0298006153057007,0.0414228552749239,26942.4051795999
"18","Austria",2006,2917833.17294441,0.101364690761468,80114357.7077654,30.1881144991,58.5914042,122.998182655066,0.0513411722919833,0.0605825833045403,26845.3575111
"19","Austria",2010,3121391.78566337,0.108436258807721,82869946.7105913,30.1881144991,58.55379228,118.858620834187,0.0613903429518824,0.066301570388033,26829.0083622
"20","Austria",2014,3036456.18710123,0.105485620380986,97608946.2758029,30.1881144991,58.49515628,114.872031849712,0.065012247205125,0.065012247205125,26817.3020665
"21","Azerbaijan",2000,160066.499744603,0.00487777584898406,32001298.8681552,23.5167815847,30.31646307,16.0372830071201,0.00422360872203707,0.00587081612363153,3062.29858091
"22","Azerbaijan",2006,655066.384613496,0.0199621219646041,36681588.7842564,23.5167815847,30.21049404,15.1402573724652,0.00455955541978993,0.00538027539535212,3069.15168381
"23","Azerbaijan",2010,538333.863295599,0.016404881229135,29075423.6239545,23.5167815847,30.18609728,13.2817108716532,0.00618305389553707,0.00667769820718004,3064.74889633
"24","Azerbaijan",2014,588939.794048668,0.0179470176988931,33045822.7984943,23.5167815847,30.16965113,13.7576169352004,0.00739693645451902,0.00739693645451902,3060.04881913
"25","Bangladesh",2000,1986695.6680045,0.0652865782640537,39374542.9777993,61.975340647,64.10654483,13.9930282147472,0.000607867547001474,0.00084493589033205,458.586228849
"26","Bangladesh",2006,2958417.58065208,0.0972191987064609,43663710.4511195,61.975340647,64.03318699,17.0183749334261,0.000791045331288148,0.000933433490920015,456.35737924
"27","Bangladesh",2010,2521501.11678922,0.0828612971052118,49932135.1281526,61.975340647,63.9875054,17.2193679401957,0.00101018882922425,0.00109100393556219,455.280688081
"28","Bangladesh",2014,2695990.75954233,0.0885953568816197,53947024.0634079,61.975340647,63.98155285,18.6913965083645,0.00142689253834999,0.00142689253834999,453.936951365
"29","Belarus",2000,287896.910611724,0.00877320738455362,28594503.6435903,42.0736449614,44.30696552,71.383189824098,0.00602740996342566,0.00837809984916167,5079.8171861
"30","Belarus",2006,443618.518214351,0.0135185794514197,38704085.2387344,42.0736449614,44.30302315,83.8823921803111,0.00949590064732001,0.0112051627638376,5063.07228489
"31","Belarus",2010,3263874.77008604,0.0994614710325792,41082539.1578383,42.0736449614,44.32014767,78.0770703866954,0.0110503067201374,0.0119343312577484,5065.44588217
"32","Belarus",2014,4499091.6303223,0.137102769984777,49987103.2726435,42.0736449614,44.30547332,80.5761553981696,0.0109254537801798,0.0109254537801798,5063.66940625
"33","Belgium",2000,5265431.95575928,0.182919601733947,115720418.272555,42.2769532294,46.77196662,468.301609319967,0.0154222974803576,0.0214369934976971,34434.4317705
"34","Belgium",2006,3138780.54459973,0.109040339324954,116944180.057401,42.2769532294,47.26129664,390.153467216911,0.0205821801964019,0.0242869726317542,34377.0665707
