"","Area","Year","fertilizer","Barley","Cassava","Groundnut","Maize","Millet","Oil_palm","Potato","Rapeseed","Paddy_rice","Rye","Sorghum","Soy","Sugarcane","Sunflower","Wheat","Oil_crops_Nuts","Rapeseed_Mustard","Roots_Tubers_other_than_potato_Yam.","Roots_tubers","Cereals_incl_pulses","Cereals","Oilseeds","Rye_oat_rice","Triticale","Cereals_other","Rye_Oat","Buckwheat_millet","Cereals_mixture","Sunflower_soya_linseed"
"38","Togo","1997","N  ",100,0,100,3000,200,0,0,0,500,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39","Turkey","1999","N  ",177400,0,0,87000,0,0,50400,0,0,0,0,700,0,54600,610800,0,0,0,0,0,25000,0,0,0,0,0,0,0,0
"40","USA","1998","N  ",142400,0,14200,4680800,0,0,117400,62300,187800,6800,281300,598600,38300,35300,2087500,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41","Uruguay","1998","N  ",4400,0,0,1200,0,0,600,0,14400,0,1600,0,500,3900,11600,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42","Venezuela","1997","N  ",0,0,0,33900,1400,0,1100,0,23300,0,18600,0,10900,300,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"43","Vietnam","1999","N  ",9900,0,8900,64900,0,0,2300,0,792300,0,0,4600,31300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"44","Zimbabwe","1998","N  ",0,0,0,114200,0,0,0,0,0,0,0,0,400,0,10600,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45","Albania","1999","N  ",0,0,0,0,0,0,300,0,0,100,0,0,0,100,5500,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46","Australia","2000","N  ",0,0,0,0,0,0,0,0,0,0,0,0,96000,0,0,0,0,0,0,0,701700,55000,0,0,0,0,0,0,0
"47","Austria","1999-2000","N  ",24000,0,0,29000,0,0,2000,7000,8000,0,0,0,0,0,30000,0,0,0,0,0,0,0,0,0,0,0,0,0,2000
"48","Azerbaijan","1998","N  ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3400,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49","Bangladesh","1998","N  ",0,0,29000,700,0,0,0,0,728400,0,0,0,14600,0,39700,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50","Belarus","1996","N  ",0,0,0,0,0,0,1100,0,0,0,0,0,0,0,0,0,0,0,0,0,115000,0,0,0,0,0,0,0,0
"51","Belgium","1999-2000","N  ",5000,0,0,17000,0,0,9000,2000,0,0,0,0,0,0,34000,0,0,0,0,0,0,0,3000,0,0,0,0,0,0
"52","Canada","2000","N  ",306400,0,0,164700,0,0,26900,359800,0,5600,0,5300,0,0,502300,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"53","Croatia","1999","N  ",1300,0,0,38600,0,0,4600,1300,0,100,0,1400,0,3400,17800,0,0,0,0,0,0,0,0,0,0,0,0,0,0
