"","Area","Wheat","Rice","Maize","soya","Oil_Palm","Cereals","Oil_crops","sugarcane","Roots","sum_t","Region","kJ_t_N","N_total_kj"
"86","Costa_Rica",0,1705.62165491743,156.262519596494,0,492.324823380028,0,2.29921332518005,4219.05767058147,118.305289347155,6693.87117114776,"Latin_America",29607941.5078667,198191746096.538
"87","Côte_d'Ivoire",0,12911.3305028735,9670.45330140566,3.36752781911158,2229.7617651546,635.973306605213,937.368605589836,1812.45334865486,1893.71793927282,30094.4262973756,"Africa",29607941.5078667,891034013525.501
"88","Croatia",4541.28652716989,0,7920.91217145692,352.524037197331,0,376.813434173407,564.741043765151,0,103.447685702232,13859.7248994649,"Central_European_countries",35858506.9373052,496989041456.605
"89","Cuba",0,4984.08763349976,3049.36571787663,0,0,14.7426641345568,143.455411176683,31433.1669978968,563.335887597276,40188.1543121817,"Latin_America",29607941.5078667,1189888522184.2
"90","Democratic_People's_Republic_of_Korea",2069.50072727351,20358.0276091253,11956.8285761535,1683.76390955579,0,1019.33767542313,0,0,1171.25693145848,38258.7154289897,"Other_Asia",30430384.3275296,1164227414381.74
"91","Democratic_Republic_of_the_Congo",173.941536127338,14597.4106845973,37026.2043218786,180.460203279825,1725.50666416798,409.329335011709,6122.09465387084,3166.27217304425,11712.3779619828,75113.5975339606,"Africa",29607941.5078667,2223959002230.94
"92","Djibouti",0,0,0.149772382999835,0,0,0,0,0,0,0.149772382999835,"Africa",29607941.5078667,4434451.95535292
"93","Dominica",0,0,3.54461306432942,0,0,0,0,17.4144969517434,0.728374420482326,21.6874844365551,"Latin_America",29607941.5078667,642121770.650293
"94","Dominican_Republic",0,5315.03644022747,554.906679014387,0,44.7512544492857,1.84895538564624,28.4818279888877,6599.22361986316,121.539765587263,12665.7885425161,"Latin_America",29607941.5078667,375007926317.825
"95","Ecuador",252.142794859186,12477.1608430985,9753.3023912684,112.250927303719,1457.95518699914,274.245389220654,206.283352826547,7221.95019949664,444.172597873451,32199.4636829462,"Latin_America",29607941.5078667,953359837309.349
"96","El_Salvador",0,146.351676024463,6088.14752068794,9.54132882081615,0,545.803058526412,0,4827.77349584923,9.3824501621452,11626.999530071,"Latin_America",29607941.5078667,344251521998.336
"97","Equatorial_Guinea",0,0,0,0,35.5975887664772,0,0,0,124.650788535763,160.24837730224,"Africa",29607941.5078667,4744624581.89528
"98","Eritrea",480.848493981999,0,726.795450570531,0,0,2435.47219686983,30.6777058837225,0,9.41948614962738,3683.21333345571,"Africa",29607941.5078667,109052364937.951
"99","Ethiopia",37756.4886435596,224.063927456623,38095.2296676038,35.4712930279753,0,17491.0873363693,781.073767192765,1978.92010815266,381.544743041132,96743.8794864039,"Africa",29607941.5078667,2864387125077.55
"100","Faroe_Islands",0,0,0,0,0,0,0,0,0.629611787196587,0.629611787196587,"Western_Europe",28785498.6882037,18123689.2744249
"101","Fiji",0,191.925183150822,12.2314112783198,0,0,0.0612236882664317,3.8750786379439,4591.09465091417,24.7523849672384,4823.93993263676,"Other_Asia",30430384.3275296,146794346123.054
"102","French_Guiana",0,308.406321579448,2.24658574499752,0,0,0,0,13.4566567354381,32.7151222759011,356.824686335785,"Latin_America",29607941.5078667,10564844441.5928
"103","French_Polynesia",0,0,0,0,0,0,0,3.16627217304425,1.83945404494689,5.00572621799114,"Other_Asia",30430384.3275296,152326172.651862
"104","Gabon",0,17.3081619714196,511.722308582768,18.2688384186803,40.6829585902597,0,216.410225000374,284.964495573983,283.9425706965,1373.29955883398,"Africa",29607941.5078667,40660573010.7357
"105","Gambia",0,640.227515503295,774.398106300645,0,35.5975887664772,970.21791032697,1420.8621672461,0,15.8267119840397,3857.13000012753,"Africa",29607941.5078667,114201679432.014
"106","Georgia",1446.06363318236,0,2953.01215148007,6.17380100170457,0,160.58973432285,288.047512087163,0,140.736752432178,4994.62358450633,"CIS",32815468.5045522,163900912929.461
"107","Ghana",0,4361.93598070049,19794.9166198115,0,3386.85630263912,3183.63178985445,6200.12582071024,435.362423793585,4876.40501848338,42239.2339559928,"Africa",29607941.5078667,1250616768306.13
"108","Grenada",0,0,7.48861914999173,0,0,0,0,12.665088692177,0.19135260199112,20.3450604441598,"Latin_America",29607941.5078667,602375359.604697
"109","Guadeloupe",0,0,0,0,0,0,0,997.37573450894,0.956763009955598,998.332497518896,"Latin_America",29607941.5078667,29558570191.9419
"110","Guam",0,0,0.399393021332892,0,0,0,0,0,0,0.399393021332892,"Other_Asia",30430384.3275296,12153683.1368931
"111","Guatemala",18.0822626045522,317.060402565157,14408.5525617331,72.9631027474176,457.683284140421,199.528000060301,36.1157329056371,14937.0472899449,120.8052185022,30567.8378552037,"Latin_America",29607941.5078667,905050755238.823
"112","Guinea",0,26465.9244286928,11473.8875271705,0,3152.92929074513,1962.21920893914,2671.29837599542,415.573222712058,852.765957105715,46994.5980113608,"Africa",29607941.5078667,1391413309106.08
"113","Guinea-Bissau",0,2268.20670996426,399.393021332892,0,96.6220266518667,287.751334852229,258.338575862927,15.8313608652213,21.6043260312555,3347.74735556065,"Africa",29607941.5078667,99119907886.5551
"114","Guyana",0,3562.82930903616,74.8861914999173,0,0,0,22.772545462317,3356.24850342691,12.9625956187533,7029.69914504406,"Latin_America",29607941.5078667,208134921104.365
"115","Haiti",0,1849.46085581701,6565.02278815942,0,0,704.072415063965,322.923219828658,1424.82247786991,566.656781141509,11432.9585378805,"Latin_America",29607941.5078667,338506367651.43
"116","Honduras",52.3066308818378,184.108593873406,8133.38925880602,4.20940977388948,813.659171805194,353.872918179975,1.86003774621307,6015.91712878408,39.8136865433136,15599.1368363939,"Latin_America",29607941.5078667,461858331025.16
"117","Iceland",0,0,0,0,0,0,0,0,4.39493718121539,4.39493718121539,"Western_Europe",28785498.6882037,126510458.464613
"118","Iraq",39152.3668841056,4388.10759658469,4106.2595005788,0.168376390955579,0,6391.75305501547,316.464755432085,0,277.769906116141,54632.8900742237,"Middle_East",29607941.5078667,1617567413723.33
"119","Israel",2196.25764681901,0,220.165403009757,0,0,72.3051758426558,105.402138952074,0,111.16968909226,2705.30005371576,"Middle_East",29607941.5078667,80098365751.6447
"120","Jamaica",0,0.0348954878456039,39.9143400694559,0,0,0,31.7627279023468,2374.70412978319,9.03678094564511,2455.45287418848,"Latin_America",29607941.5078667,72700905074.2957
"121","Japan",5647.15010954758,58903.5834833794,635.534145195965,797.542838492927,0,331.587495650994,120.941204290229,1717.70265387651,13777.4060277684,81931.447958202,"Japan",29978040.776715,2456144287786.28
"122","Jordan",696.386994727534,0,16.1005311724822,0,0,223.380749008903,0,0,32.5793236551332,968.447598564052,"Middle_East",29607941.5078667,28673739851.7184
"123","Kazakhstan",306834.525329206,3056.8447352749,2229.61154159087,260.422151344629,0,10750.3225240222,7296.04972723594,0,947.504013085059,331375.28002176,"CIS",32815468.5045522,10874235064741.2
"124","Kenya",3892.93781807419,806.295142160525,47132.9944990905,14.1043290157123,0,1993.29635310318,419.645182631738,4323.62380909625,1168.21380782036,59751.1109409925,"Africa",29607941.5078667,1769107397770.96
"125","Kuwait",2.79382598181923,0,15.1519727468166,0,0,5.85910696709751,0,0,7.6664494088055,31.4713551045388,"Middle_East",29607941.5078667,931802041.108487
"126","Kyrgyzstan",10509.4420682767,220.365005744989,1801.21260208368,1.40874913766168,0,634.075372268953,766.387219154958,0,500.609270131671,14433.5002867986,"CIS",32815468.5045522,473642074071.885
"127","Lao_People's_Democratic_Republic",0,25924.0323979384,2841.0572951877,50.0639135774589,0,0,237.477735861995,480.481802259465,115.3053743611,29648.4185191861,"Other_Asia",30430384.3275296,902212770242.281
"128","Lebanon",1368.45735590961,0,26.2101670249711,0,0,100.284401380415,32.2923219828658,0,122.836025149138,1650.080271447,"Middle_East",29607941.5078667,48855480160.2875
"129","Lesotho",586.263687277493,0,4212.72270282785,0,0,218.697136856521,0,0,34.8323462269641,5052.51587318883,"Africa",29607941.5078667,149594594440.943
"130","Liberia",0,4536.41341992851,149.772382999835,43.216607011932,172.902574008604,0,109.793894741744,1978.92010815266,512.331160169772,7503.35014701306,"Africa",29607941.5078667,222158752265.805
"131","Libya",3414.67620000128,0,34.447648089962,0,0,1282.51382180521,135.627752328036,0,94.750401308506,4962.01582353299,"Africa",29607941.5078667,146915074264.274
"132","Madagascar",111.235664090951,43991.3457074391,6367.0736219613,0.454616255580064,18.3073313656169,10.689655971319,707.847697864419,6490.85795474072,2649.55454447317,60347.3667941622,"Africa",29607941.5078667,1786761306195.33
"133","Malawi",42.8386650545616,1815.64712809462,44004.0996458409,404.10333829339,0,686.531828375632,3257.88194634978,1781.02809733739,2078.08925762356,54070.2199069698,"Africa",29607941.5078667,1600907908323.05
"134","Maldives",0,0,0.624051595832644,0,0,0.275506597198943,0,0,0.0864173041250218,0.985975497156609,"Other_Asia",30430384.3275296,30003613.3160027
"135","Mali",92.2221261591256,14254.5974120021,10296.4519382173,7.01568295648246,0,14772.7433326021,4322.92147613107,370.61215785483,60.0168177148277,44176.5809436378,"Africa",29607941.5078667,1307977624596.77
"136","Martinique",0,0,0,0,0,0,0,277.048815141372,0.870345705830576,277.919160847203,"Latin_America",29607941.5078667,8228614258.27936
"137","Mauritania",7.06217123182084,548.731546372122,867.306907888209,0,0,1238.52460178578,12.9169287931463,0,2.51227448420599,2677.05443055528,"Africa",29607941.5078667,79262070993.2562
"138","Mauritius",0,0,2.89559940466347,0,0,0,2.29921332518005,5282.29186628973,3.0184329797954,5290.50511199937,"Africa",29607941.5078667,156640965903.147
"139","Micronesia_(Federated_States_of)",0,3.07080293041315,1.14825493633207,0,0,0.0244894753065727,0,0,6.71585906343026,10.9594064054821,"Other_Asia",30430384.3275296,333498948.920409
"140","Mongolia",3051.60816616024,0,0,0,0,13.9712456623997,129.169287931463,0,66.1894822951864,3260.93818204929,"Other_Asia",30430384.3275296,99231602148.0757
"141","Montenegro",20.9019573454624,0,69.4444615842567,0,0,6.33665173557568,0,0,62.8315527634712,159.514623428766,"Central_European_countries",35858506.9373052,5719956230.82203
"142","Montserrat",0,0,0.374430957499587,0,0,0,0,0,0.253079247794707,0.627510205294294,"Latin_America",29607941.5078667,18579285.4539429
"143","Mozambique",175.907561818248,12482.1160023725,41534.3780122375,0,0,2840.16689867977,4280.67020204869,2612.17454276151,5336.2685297201,69261.6817496383,"Africa",29607941.5078667,2050695821979.77
"144","Myanmar",2376.40768512817,281756.463034321,8162.24540459732,883.543886446671,0,2923.21683181318,18219.9609922438,11436.0209914056,323.583422631564,326081.442248587,"Other_Asia",30430384.3275296,9922783609699.67
"145","Namibia",56.083469709112,0,721.50349303787,0,0,1645.12948266963,10.1397891026199,0,3.3332388733937,2436.18947339263,"Africa",29607941.5078667,72130555430.2894
"146","Nepal",17384.8408594611,54068.7089559075,21241.39333276,129.649821035796,0,1762.62998519057,0,4912.31296286951,931.232869251233,100430.768786476,"Other_Asia",30430384.3275296,3056146892481.72
"147","New_Caledonia",0.258687590909188,0,24.9620638333058,0,0,0,0,0,3.09867761934006,28.319429043555,"Other_Asia",30430384.3275296,861771109.731585
"148","New_Zealand",982.02983260946,0,671.130048222259,0,0,288.228879620707,19.0137191835114,0,72.3251108880629,2032.727590524,"Oceania",29607941.5078667,60184879601.6614
"149","Nicaragua",0,3064.24257869817,8565.98182503721,6.22431391899124,25.4268491189123,240.719297525956,336.201822628013,4007.55068942211,82.4050721477886,16328.7524484972,"Latin_America",29607941.5078667,483460747391.538
"150","Niger",134.517547272778,574.903162256325,424.330123102365,0,0,54564.4489173802,4006.01754512002,332.458578169647,69.7511097580533,60106.4269830594,"Africa",29607941.5078667,1779627574361.28
"151","Nigeria",1629.73182272789,95090.2043792707,101520.713610055,3535.90421006716,31275.0244162621,75176.5668223515,28727.2496359574,3720.369803327,25159.7808295421,365835.545529561,"Africa",29607941.5078667,10831637433537.7
"152","Niue",0,0,0,0,0,0,0,0,0.0432086520625109,0.0432086520625109,"Other_Asia",30430384.3275296,1314855.88853671
"153","Norway",2218.19435452811,0,2.52116844716388,0,0,970.30974585937,84.1408741585552,0,86.7012466957183,3361.86738968892,"Western_Europe",28785498.6882037,96773029335.8051
"154","Occupied_Palestinian_Territory",545.960160613842,0,30.8281488341326,0,0,67.6093189526205,0.155003145517756,0,13.0551855874586,657.607817133572,"Middle_East",29607941.5078667,19470413784.8067
"155","Oman",7.13977750909359,0,100.821775822722,0,0,19.4507657622454,0,1.89976330382655,1.17280627026815,130.484888668156,"Middle_East",29607941.5078667,3863388951.34725
"156","Panama",0,3821.05591909363,1262.83080932694,0.987808160272731,69.1610296034415,6.35501884205561,0,2684.44470511124,13.9996032682535,7858.83489340583,"Latin_America",29607941.5078667,232683923843.942
"157","Papua_New_Guinea",0,14.272254528852,589.104706466016,0,935.708047575973,7.91622289284962,15.5907330533276,672.832836771904,84.5161234342713,2319.94092472319,"Other_Asia",30430384.3275296,70596693956.4913
"158","Paraguay",9442.09706818537,1465.61048951537,15376.681245444,12347.6020034091,133.541811572527,68.0807413522721,1813.14929469395,5936.76032445798,1852.97218037788,48436.4951590085,"Latin_America",29607941.5078667,1434104915513.99
"159","Peru",3700.00861277412,11993.2651131435,12726.7085489003,13.3410227100471,110.922086596343,919.267556951645,50.3760222932707,5212.23809446112,2242.39324342355,36968.5203012539,"Latin_America",29607941.5078667,1094561786711.91
