"","Area","Wheat","Rice","Maize","soya","Oil_Palm","Cereals","Oil_crops","Roots","sugarcane","sum_t","Region","kJ_t_N","N_total_kj"
"1","Austria",35282.2334439708,0,33927.8230268676,99.5741814991024,0,16270.9090501163,5356.08463680954,2198.84460565297,0,93135.4689449163,"Western_Europe",28785498.6882037,2680950919139.13
"2","Belgium",24410.4610105996,0,10517.2029768495,0,0,3070.88240354435,764.044138054002,8181.74736987151,0,46944.337898919,"Western_Europe",28785498.6882037,1351316177007.92
"3","Bulgaria",131827.230749762,1078.98559457835,55121.3384465292,2.09992674346528,0,19608.1423604132,63717.3594712253,1381.47043103078,0,272736.626980282,"Central_European_countries",35858506.9373052,9779928230629.67
"4","Cyprus",912.543864879953,0,0,0,0,1796.25087910471,5.40916203932037,425.799107862076,0,3140.00301388606,"Central_European_countries",35858506.9373052,112595819856.592
"5","Czechia",97111.6529114052,0,17370.1788654765,27.4351808470387,0,31255.5834645242,26775.0816365339,2709.80353508746,0,175249.735593874,"Western_Europe",28785498.6882037,5044651034045.51
"6","Denmark",88959.3380853226,0,1597.82233260415,0,0,46657.8955056887,11257.8184943355,3852.70638136073,0,152325.580799312,"Western_Europe",28785498.6882037,4384767806278.45
"7","Estonia",13908.8088196288,0,0,0,0,8732.08501891894,6638.93502895985,936.557896705327,0,30216.3867642129,"Central_European_countries",35858506.9373052,1083514514404.83
"8","Finland",24604.7828753538,0,0,0,0,32920.1092791612,10662.8106700103,2521.77144961793,0,70709.4742741432,"Western_Europe",28785498.6882037,2035407478961.92
"9","France",632224.089979296,2146.620084129,269026.018907859,147.542301221211,0,124533.292469686,146054.880273979,15719.242176543,0,1189851.68619271,"Western_Europe",28785498.6882037,34250474152057.3
"10","Germany",384181.666113974,0,78476.7915781163,2.89645068064176,0,168723.667357806,100486.679349709,25454.5808859113,0,757326.281736197,"Western_Europe",28785498.6882037,21800014689459.5
"11","Greece",85916.709702957,2707.32863724377,36889.0082887444,1.46270759372409,0,10193.6307652712,4444.09991698012,4465.43680144052,0,144617.676820231,"Western_Europe",28785498.6882037,4162891946399.82
"12","Hungary",117802.621010729,180.176270281098,185122.349920921,109.161433252027,0,24693.8009052904,51442.6185134975,2025.62292393517,0,381376.350977906,"Western_Europe",28785498.6882037,10978108450786.4
"13","Ireland",9063.69369177331,0,0,0,0,13016.4594759868,540.916203932037,1220.85760656106,0,23841.9269782532,"Western_Europe",28785498.6882037,686301757756.756
"14","Italy",213250.189080318,22314.8310743139,155876.146328584,461.983883562361,0,23705.52821665,8174.5961319229,6244.38644667298,0,430027.661162024,"Western_Europe",28785498.6882037,12378560676270.8
