"","Area","Wheat","Rice","Maize","soya","Oil_Palm","Cereals","Oil_crops","Roots","sugarcane","sum_t","Region","kJ_t_N","N_total_kj"
"15","Latvia",35089.7755779193,0,0,0,0,9914.70982131086,7173.90115464864,3012.11589815475,0,55190.5024520336,"Central_European_countries",35858506.9373052,1979049015049.6
"16","Lithuania",60300.3580316435,0,1194.161953841,0,0,20922.7897429463,17032.09897131,3662.57281968319,0,103111.981519424,"Central_European_countries",35858506.9373052,3697441704633.55
"17","Luxembourg",1632.04736411378,0,63.0719341817429,0,0,681.087755692,318.802487692444,61.5432318061519,0,2756.55277348612,"Western_Europe",28785498.6882037,79348746245.149
"18","Malta",332.840268346997,0,0,0,0,38.9001743176713,0,70.1492772294512,0,441.889719894119,"Western_Europe",28785498.6882037,12720015952.3429
"19","Netherlands",17908.7170357387,0,2814.35379910161,0,0,2648.18701033722,177.96143109364,15707.934233138,0,39257.1535094092,"Western_Europe",28785498.6882037,1130036740847.71
"20","Poland",247471.690762546,0,56391.6912968617,0.524257573196159,0,151890.156168992,64130.8222946058,40097.767173655,0,559982.651954234,"Central_European_countries",35858506.9373052,20080141809871.4
"21","Portugal",6725.19081934445,2623.36649529278,15199.6633705021,0,0,3024.61871630612,946.806200457539,2554.89471746807,7.50231507692308,31082.042634448,"Western_Europe",28785498.6882037,894712097480.594
"22","Romania",250768.754967827,1117.36314014823,352992.42344533,183.704487969023,0,40034.4528231101,88793.626154785,24715.5617527594,0,758605.886771929,"Central_European_countries",35858506.9373052,27202474453491.8
"23","Slovakia",39856.3697604245,0,28357.4779917606,40.4807947126492,0,11145.2346471456,16690.9836902054,1100.07275974801,0,97190.6196439968,"Central_European_countries",35858506.9373052,3485110508745.25
"24","Slovenia",3721.70640973509,0,6127.73274144918,0.315713124189952,0,1467.12416523148,372.285577356224,412.789969431507,0,12101.9545763277,"Central_European_countries",35858506.9373052,433958022130.198
"25","Spain",226950.346545166,11007.3287040128,52978.7427944192,2.21868122137159,0,225276.934166024,48514.7067161389,7921.76474185138,0.625192923076923,572652.667541757,"Western_Europe",28785498.6882037,16484092610319.6
"26","Sweden",46262.1178020975,0,0,0,0,24872.310309425,7268.56149033674,2711.90501129548,0,81114.8946131547,"Western_Europe",28785498.6882037,2334932692480.75
"27","United_Kingdom",225844.063315126,0,0,0,0,68949.2573470005,43378.9102033807,13809.7007955268,0,351981.931661034,"Western_Europe",28785498.6882037,10131975432100.1
"28","Argentina",221023,8591,231176,115588,0,50003.1985442332,27592.8004869046,6199.50003744337,17963,678136.499068581,"Latin_America",29607941.5078667,20078225798772
"29","Australia",367268,5892,1964,0,0,124872.099847797,84360.8493891017,7514.15638639112,60884,652755.10562329,"Oceania",29607941.5078667,19326734986255.7
"30","Bangladesh",13310,1004300,12100,0,2420,0,7299.72335053845,22586.6874360344,12100,1074116.41078657,"Other_Asia",30430384.3275296,32685775192742.1
"31","Belarus",80400,0,23584,0,0,91946.5728229474,37273.3246280446,8040,0,241243.897450992,"CIS",32815468.5045522,7916531518718.45
"32","Brazil",114200,142750,713750,114200,8565,20961.2453415692,5556.58510641481,110322.146599142,628100,1858404.97704713,"Latin_America",29607941.5078667,55023545858339.6
"33","Canada",587050,0,199000,9950,0,233506.038764558,646409.855333324,23880,0,1699795.89409788,"North_America",31170582.8652263,52983628770949.5
"34","Chile",50920,2144,34840,0,0,2812.66635402011,994.027350201493,7838.52139181197,0,99549.2150960336,"Latin_America",29607941.5078667,2947447337717.4
"35","China,_mainland",4498662,5020246,5020246,293391,6519.8,193571.446547999,1601132.91482508,1038856.5844746,432838.303954814,18105464.0498025,"China_",40135209.5995526,726666594535987
"36","Egypt",246867,157624,275842,579.5,0,17385,12156.3458577861,30991.8793282768,39985.5,781431.225186063,"Africa",29607941.5078667,23136570007729.5
"38","India",3973920,4967400,844458,231812,0,1043154,769314.253584993,125259.402955034,910690,12866007.65654,"India",35611774.0914063,458181358123007
"39","Indonesia",0,1370250,487200,15225,548100,0,4718.31749882018,58637.9018339631,45675,2529806.21933278,"Other_Asia",30430384.3275296,76982975528471.3
"40","Iran_(Islamic_Republic_of)",348600,65100,49350,1050,0,70350,14790.2558671052,42000,12965.2604110036,604205.516278109,"Middle_East",29607941.5078667,17889281584692.6
"41","Japan",22275,145800,0,4455,0,7380.33562919361,403.962694877506,13125.1269895022,4818.46153846154,198257.886852035,"Japan",29978040.776715,5943383016355.65
"42","Malaysia",0,82384,813,0,373980,0,0,284.188221927665,1084,458545.188221928,"Other_Asia",30430384.3275296,13953706309132.7
"43","Mexico",61798,5830,711260,0,3498,33807.6494219003,1129.21313600988,3999.15304350452,71123.1710084648,892445.186609879,"Latin_America",29607941.5078667,26423464884122.5
"44","Morocco",69700,820,6150,0,0,40208.1756460153,326.175401207026,5065.48502575744,1973.36448598131,124243.200558961,"Africa",29607941.5078667,3678585414899.87
"45","Pakistan",1351490,345730,141435,0,0,25144,26968.1908469445,15435.8178787986,251046.175971297,2157249.18469704,"Other_Asia",30430384.3275296,65645921780580.9
"46","Philippines",0,207840,95260,0,1732,0,68.4473924129044,1610.28023491103,41135,347645.727627324,"Other_Asia",30430384.3275296,10578993101523.2
"48","Russian_Federation",708874,20762,100844,10381,0,145076.977542471,57959.1354697021,37075,0,1080972.11301217,"CIS",32815468.5045522,35472606328850.2
"49","South_Africa",20145,0,229100,1580,0,3047.86130565076,7774.78653680445,6733.64796569193,33180,301561.295808147,"Africa",29607941.5078667,8928609207324.1
"50","Thailand",0,589950,91770,1311,40641,1625.33432918216,1857.50042009609,64275.3724162392,120612,912042.207165517,"Other_Asia",30430384.3275296,27753794886975.1
"51","Turkey",559104,10752,116928,1344,0,158171.106537359,33514.8935002428,24182.0305095102,0,903996.030547112,"Western_Europe",28785498.6882037,26021976551455.2
"52","Ukraine",234650,2600,116350,22100,0,83226.3807791711,99039.3222345174,1950,0,559915.703013689,"CIS",32815468.5045522,18373896117449.9
"53","United_States_of_America",1548785,244545,5706050,93160,0,255612.297303361,83922.5956055764,73020.2251056417,45223.3042679459,8050318.42228253,"North_America",31170582.8652263,250933117473215
"54","Uzbekistan",146440,6276,4184,0,0,7140.78096947935,4469.83425353761,6276,0,174786.615223017,"CIS",32815468.5045522,5735704666868.2
"55","Viet_Nam",0,750000,150000,8750,0,0,10168.1509257089,19439.724847498,50000,988357.875773207,"Other_Asia",30430384.3275296,30076110012919.5
"56","Afghanistan",51434.4674000943,5889.85975626207,3820.78817333342,0,0,1109.6601118707,1.56934338472112,126.539623897353,247.238455140011,62630.1228639826,"Other_Asia",30430384.3275296,1905858709231.39
"57","Albania",1614.70141922981,0,1131.62141527143,1.62928798558094,0,18.4091078467029,12.0008611772791,55.5539812232283,0,2833.91607273403,"Central_European_countries",35858506.9373052,101619999153.874
"58","Algeria",38362.3341458933,5.74827658904423,2.90212872182156,0,0,5209.91558892577,146.299729182707,753.04038814544,0,44480.2402574581,"Africa",29607941.5078667,1316968351798.68
"59","American_Samoa",0,0,0.104393119489984,0,0,0,0,0.104935297866098,2.39263021103236,2.60195862838844,"Other_Asia",30430384.3275296,79178601.0661921
"60","Angola",83.0293016654028,676.909122468485,31105.2870625942,74.3498417420102,500.55178503468,1844.1579467488,2781.31035501454,6085.30903121746,1036.80642478069,44187.7108712663,"Africa",29607941.5078667,1308307158842.98
"61","Antigua_and_Barbuda",0,0,0.835144955919873,0,0,0,0,0.129625956187533,0,0.964770912107406,"Latin_America",29607941.5078667,28564880.7341673
"62","Armenia",1891.62599010015,0,56.9777646176334,0,0,312.494605697781,0,174.84689690324,0,2435.9452573188,"CIS",32815468.5045522,79936684870.3586
"63","Azerbaijan",14343.9673571852,46.4392788474509,623.644495833165,0.320426637164251,0,1353.61147268593,83.5075309305131,406.148984058442,0,16857.6395461779,"CIS",32815468.5045522,553191339588.694
"64","Bahamas",0,0,1.87907615081971,0,0,0,0,0.240733918633989,183.434982845814,185.554792915268,"Latin_America",29607941.5078667,5493895455.13956
"65","Bahrain",0,0,0,0,0,0,0,0.0493813166428696,0,0.0493813166428696,"Middle_East",29607941.5078667,1462079.13474353
"66","Barbados",0,0,5.80425744364312,0,0,0,0.0738514533986408,0.123453291607174,438.648872022599,444.650434211248,"Latin_America",29607941.5078667,13165184047.5741
"67","Belize",0,130.48304690796,414.148383640665,3.66589796755711,0,31.2443469287096,0.92314316748301,0.703683762160892,1937.3126818729,2518.48118424744,"Latin_America",29607941.5078667,74567043591.8609
"68","Benin",0,1332.52413658741,19171.5249722249,385.245144190613,565.841148300073,735.847836120194,1619.47005871544,1764.12284640819,47.4538325188085,25622.0299750656,"Africa",29607941.5078667,758615564814.55
"69","Bermuda",0,0,0,0,0,0,0,0.277769906116141,0,0.277769906116141,"Latin_America",29607941.5078667,8224195.13293232
"70","Bhutan",49.2057861448651,646.043992014996,519.439283958263,2.97616605366118,0,22.985816603036,0,23.1474921763451,34.6931380599692,1298.49167501114,"Other_Asia",30430384.3275296,39513600716.6866
"71","Bolivia_(Plurinational_State_of)",3789.02033168443,5500.13793017825,7788.62449478043,5902.19891600604,0,723.196688116654,1752.16265760945,1281.45133954705,10878.7312891816,37615.5236471039,"Latin_America",29607941.5078667,1113718223931.23
"72","Bosnia_and_Herzegovina",1193.50251180771,0,3943.17866662348,21.9247853259675,0,110.372828823121,9.96994620881651,223.555393106851,0,5502.50413189595,"Central_European_countries",35858506.9373052,197311582586.141
"73","Botswana",0,0,1365.21145944222,0,0,342.363383179057,80.304224139347,0,0,1787.87906676062,"Africa",29607941.5078667,52935418831.7878
"74","Brunei_Darussalam",0,52.329138603713,2.04610514200369,0,0,0,0,1.22836025149138,0,55.6036039972081,"Other_Asia",30430384.3275296,1692039039.6308
"75","Burkina_Faso",0,3786.98160684241,16500.8149176888,96.8177230631713,0,17104.9094876621,3784.1669350097,21.0858222065053,362.882248673241,41657.6587411459,"Africa",29607941.5078667,1233397523362.52
"76","Burundi",266.982904486726,831.602890970695,2511.00946034038,19.7143846255294,182.8102171431,444.585068138943,150.887750725098,952.238446818195,194.600590497299,5554.43171374597,"Africa",29607941.5078667,164455289290.03
"77","Cabo_Verde",0,0,668.700566205042,0,0,0,0,4.47518182076006,95.8647171220299,769.040465147832,"Africa",29607941.5078667,22769705109.2796
"78","Cambodia",0,78621.3309724997,4468.02551417132,560.464205119939,304.683695238501,0,185.00712219527,1248.74856260031,1361.56609875815,86749.8261705832,"Other_Asia",30430384.3275296,2639830550717.23
"79","Cameroon",14.2023805480294,3963.64908289682,17666.0300388121,80.7475125653913,2446.82770397605,4328.18580040259,3484.82853152166,1935.32169854444,11564.3793533231,45484.1721025902,"Africa",29607941.5078667,1346692707147.23
"80","Cayman_Islands",0,0,0,0,0,0,0,0.0185179937410761,0,0.0185179937410761,"Latin_America",29607941.5078667,548279.675528822
"81","Central_African_Republic",0,472.88777850758,1939.43625250882,0,13.6019506802902,319.305975601062,902.621694869863,1493.82186443429,1093.27249776105,6234.94801436296,"Africa",29607941.5078667,184603976113.848
"82","Chad",14.8360252186338,3928.64972396058,5511.87319457557,0,0,14040.677691091,9598.03952093263,378.606554700881,349.403765151092,33822.0864756304,"Africa",29607941.5078667,1001402358044.47
"83","China,_Taiwan_Province_of",41.5146508327014,6905.35086481529,373.059251809407,0.624560394472693,0,10.2119412138516,193.176939227495,19.9809152466211,783.50663977273,8327.42576331257,"China_",40135209.5995526,334222978435.264
"84","Colombia",187.012577093206,13657.0273599323,10903.5899086182,171.640058321,4363.8757512956,121.316020709772,33.2700797560877,1880.13190453146,27796.8600027107,59114.7236629683,"Latin_America",29607941.5078667,1750265280466.87
"85","Comoros",0,538.016035427785,52.1965597449921,0,0,0,10.1176491156138,71.6954991008663,0,672.025743389257,"Africa",29607941.5078667,19897298902.0497
"86","Congo",0,68.1581366986673,268.018894978585,0,245.923268299647,66.4773338908715,488.49043850531,768.762164831614,1319.93433308619,3225.76457029088,"Africa",29607941.5078667,95508248715.3212
"87","Cook_Islands",0,0,0,0,0,0,0,0.271597241535783,0,0.271597241535783,"Other_Asia",30430384.3275296,8264808.44223077
"88","Costa_Rica",0,2264.42454321522,200.393032172974,0,1240.49790204247,0,1.7170462915184,76.1274722695638,4444.70938869445,8227.8693846862,"Latin_America",29607941.5078667,243610275476.156
"89","Côte_d'Ivoire",0,11181.3324145947,8331.51047337615,1.37403286783992,5658.41148300073,666.818795336127,718.039218531635,2157.47589679155,1991.78489634407,30706.7472108428,"Africa",29607941.5078667,909163575315.482
"90","Croatia",3681.84698308738,0,6825.49357436584,306.610275046525,0,276.642868166328,394.652935530662,67.5906771549278,0,11552.8373133517,"Central_European_countries",35858506.9373052,414267496946.379
"91","Cuba",0,4995.8753218152,4710.38458037927,0,0,0.654546056771658,81.882798955743,504.022753644609,34406.0224346453,44698.8424354969,"Latin_America",29607941.5078667,1323440712299.54
"92","Democratic_People's_Republic_of_Korea",1595.03658462484,16140.4810628336,10501.9478206924,1629.28798558094,0,832.214402056615,0,820.964389187707,0,31519.9322449761,"Other_Asia",30430384.3275296,959163652192.317
"93","Democratic_Republic_of_the_Congo",150.283036014379,11897.9131405176,31000.0587981482,205.073047785121,3877.36117936298,350.488958836949,4405.22996379725,11575.1102470448,3588.94531654854,67050.4636880558,"Africa",29607941.5078667,1985226206951.29
"94","Djibouti",0,0,0.167028991183975,0,0,0,0,0,0,0.167028991183975,"Africa",29607941.5078667,4945384.60109311
"95","Dominica",0,0,2.50543486775962,0,0,0,0,0.8518277120895,19.1410416882589,22.498304268108,"Latin_America",29607941.5078667,666128476.796329
"96","Dominican_Republic",0,5052.53690533578,435.486337264418,0,78.6301564926216,2.78182074127955,24.7310054568698,163.13117952972,6349.64180837805,12106.9392131987,"Latin_America",29607941.5078667,358461548063.686
"97","Ecuador",186.444481871285,11132.3163221039,9193.81851898731,233.531277933268,4211.20745686003,175.193343007789,157.608232984374,376.890553947541,8527.97210684228,34194.9822945378,"Latin_America",29607941.5078667,1012443035639.21
"98","El_Salvador",0,139.204570008579,5353.94728341112,13.5773998798412,0,493.52772680583,0,11.2342495362528,5026.99582771936,11038.487057361,"Latin_America",29607941.5078667,326826879129.687
"99","Equatorial_Guinea",0,0,0,0,76.1709238096252,0,0,135.249253620239,0,211.420177429864,"Africa",29607941.5078667,6259716246.92621
"100","Eritrea",611.794854376653,0,417.572477959937,0,0,1856.25170787587,24.7679311835692,0.246906583214348,0,2910.63387797924,"Africa",29607941.5078667,86177877610.0246
"101","Ethiopia",33938.0085575711,845.704574425591,40988.4968640694,61.1580400187565,0,17142.9652044941,582.115618551436,333.367095991432,1861.62581286391,95753.4417679857,"Africa",29607941.5078667,2835062303043.44
"102","Faroe_Islands",0,0,0,0,0,0,0,0.61726645803587,0,0.61726645803587,"Western_Europe",28785498.6882037,17768322.8180637
"103","Fiji",0,71.9242489466618,10.4810691967944,0,0,0.0511364106852858,3.24946394954019,28.1473504864357,3588.94531654854,3702.79858553866,"Other_Asia",30430384.3275296,112677584045.374
"104","French_Guiana",0,80.8156718479421,5.15702010280522,0,0,0,0,25.2400254690867,5.18403212390345,116.396749543737,"Latin_America",29607941.5078667,3446268152.19679
"105","French_Polynesia",0,0,0,0,0,0,0,1.82710871578617,3.19017361470981,5.01728233049598,"Other_Asia",30430384.3275296,152677829.596716
"106","Gabon",0,15.6307816608493,521.965597449921,21.0395388538019,91.4051085715502,0,163.377877781143,313.929375227883,326.992795507756,1454.3410750529,"Africa",29607941.5078667,43060045482.6543
"107","Gambia",0,2439.47797116335,1102.39134181423,0,76.1709238096252,922.500848762556,1250.85899193948,16.555086404522,0,5807.95516389376,"Africa",29607941.5078667,171961596772.879
"108","Georgia",1037.86627081754,0,2083.68666502008,3.32917845053705,0,105.341006011689,84.8276256600138,127.774156813425,0,3442.82490277328,"CIS",32815468.5045522,112977912163.645
"109","Ghana",0,5131.76684571088,20704.6840823026,0,7834.72359184716,2194.54463276438,3262.16639952476,5401.16175245341,454.599740096148,44983.6470446993,"Africa",29607941.5078667,1331873190509.98
"110","Grenada",0,0,7.05697487752293,0,0,0,0,0.185179937410761,12.7606944588393,20.002849273773,"Latin_America",29607941.5078667,592243191.288544
"111","Guadeloupe",0,0,0,0,0,0,0,0.567885141393,965.027518449719,965.595403591112,"Latin_America",29607941.5078667,28589292229.7906
"112","Guam",0,0,0.375815230163943,0,0,0,0,0,0,0.375815230163943,"Other_Asia",30430384.3275296,11436201.8900278
"113","Guatemala",15.2730215431886,296.84326838892,17149.9522133014,76.0334393271105,1294.90570476363,138.349559109041,26.5772917918359,137.983744029338,18711.88358274,37847.8018249945,"Latin_America",29607941.5078667,1120595502635.77
"114","Guinea",0,41510.8537464983,10086.2961761311,0,6746.56753742394,1427.7081317689,2099.71682873513,813.96458755358,422.69800394905,63107.80501206,"Africa",29607941.5078667,1868492199486.93
"115","Guinea-Bissau",0,2846.10482741298,372.537286211957,0,206.749650340411,162.516626798907,323.450903022697,41.4617879862694,18.3434982845814,3971.1645800578,"Africa",29607941.5078667,117578008604.463
"116","Guyana",0,3720.80563448479,66.3522667478339,0,0,0,17.9920603342439,5.55539812232283,3321.60876763586,7132.31412732505,"Latin_America",29607941.5078667,211173139497.571
"117","Haiti",0,1712.90147363485,8824.18336149718,0,0,813.851316979529,290.67932057705,789.101094623895,1619.41188116707,14050.1284484796,"Latin_America",29607941.5078667,415995381280.597
"118","Honduras",45.1198705102781,208.523688678432,6935.18986432591,3.09021621265185,2285.12771428876,202.300754312059,1.35702045620002,32.0608198303831,6057.10288790916,15769.8728365238,"Latin_America",29607941.5078667,466913472530.293
"119","Iceland",0,0,0,0,0,0,0,4.39493718121539,0,4.39493718121539,"Western_Europe",28785498.6882037,126510458.464613
"120","Iraq",30224.9163372781,1358.46217282171,2360.85039726599,0.16835975851003,0,5246.44232707827,90.0064588295935,80.3495748425292,49.8464627298408,39411.0420906045,"Middle_East",29607941.5078667,1166879828982.69
"121","Israel",1401.88420917164,0,123.601453476141,0,0,57.8148259207841,52.8037891800282,99.9601302143288,0,1736.06440796292,"Middle_East",29607941.5078667,51401293444.8554
"122","Jamaica",0,1.58573147283979,43.1769942210574,0,0,0,16.1642368626275,11.0243789405206,2201.21979414977,2273.17113564682,"Latin_America",29607941.5078667,67303918021.6018
"123","Jordan",469.028155144615,0,31.2344213514033,0,0,109.953510255501,0,35.7829365723394,0,645.999023323859,"Middle_East",29607941.5078667,19126701296.7118
"124","Kazakhstan",287062.885600016,2661.76354369536,1996.41401712646,334.547133039286,0,7175.4611473593,9685.61811323174,1101.20336113599,0,310017.892915604,"CIS",32815468.5045522,10173382400819.7
"125","Kenya",3496.91013853581,571.457979524639,41931.5007910463,8.80358608208901,0,1789.92266957599,288.860728537109,1130.30747463238,5482.15384819808,54699.9172161324,"Africa",29607941.5078667,1619551949420.4
"126","Kuwait",1.50763731971389,0,19.3753629773411,0,0,4.51023142244221,0,8.19729856271635,0,33.5905302822135,"Middle_East",29607941.5078667,994546455.814003
"127","Kyrgyzstan",8198.8813416638,179.357556231557,1518.16825811894,0.657146154184312,0,627.003985976563,398.299351042219,517.886558292095,0,11440.2541974794,"CIS",32815468.5045522,375417301301.455
"128","Lao_People's_Democratic_Republic",0,24213.9496904629,4441.82284117934,39.2929952522603,0,0,217.584844575745,133.453008227355,1224.62789634673,30270.7312760443,"Other_Asia",30430384.3275296,921149986605.401
"129","Lebanon",651.99851623569,0,34.3453363122048,0,0,55.8051649808524,21.2230614204344,68.7079294439727,0.319017361470981,832.399025754625,"Middle_East",29607941.5078667,24645621665.7481
"130","Lesotho",299.189533606411,0,2950.98470174287,0,0,180.204711254947,0,37.0359874821522,0,3467.41493408638,"Africa",29607941.5078667,102663018551.933
"131","Liberia",0,7113.9878200275,135.711055336979,40.1891036443298,369.973058503894,0,70.528137995702,379.433691754649,2073.61284956138,10183.4357168244,"Africa",29607941.5078667,301510569052.858
"132","Libya",3762.75685257869,0,31.3179358469952,0,0,981.307721050634,92.314316748301,94.2751061358184,0,4961.97193236044,"Africa",29607941.5078667,146913774737.004
"133","Madagascar",78.7248878685385,37011.057525981,5520.9136387234,0.429045836202981,39.6088803810051,9.79262264623223,480.034447091165,2740.38530377315,7229.57144565538,53110.5177979561,"Africa",29607941.5078667,1572493104414.4
"134","Malawi",33.8235155205378,1673.45640324796,35415.7833594551,408.332154946295,0,697.449505336613,2825.82431855057,2620.70351022457,1834.34982845814,45509.7225957398,"Africa",29607941.5078667,1347449204653.9
"135","Maldives",0,0,0.501086973551924,0,0,0.2505684123579,0,0.0123453291607174,0,0.764000715070541,"Other_Asia",30430384.3275296,23248835.386104
"136","Mali",85.9790268561474,17441.2339366973,10530.3845064415,14.7667801093152,0,12855.9697828985,3110.77092005755,38.4001463544115,395.262510862546,44472.7676102773,"Africa",29607941.5078667,1316747102098.04
"137","Martinique",0,0,0,0,0,0,0,0.629611787196587,324.36090227562,324.990514062817,"Latin_America",29607941.5078667,9622300130.98339
"138","Mauritania",25.3239370079479,727.794112766576,483.841230212179,0,0,1234.81136338187,10.1545748423131,2.65424576955424,0,2484.57946398044,"Africa",29607941.5078667,73563283441.1796
"139","Mauritius",0,1.64236473972692,2.0043478942077,0,0,0,1.92013778836466,6.78993103839457,4682.29756864996,4694.65435011065,"Africa",29607941.5078667,138999051397.728
"140","Micronesia_(Federated_States_of)",0,2.60513027680822,1.10656706659383,0,0,0.0255682053426429,0,6.09859260539439,0,9.83585815413908,"Other_Asia",30430384.3275296,299308943.821518
"141","Mongolia",5467.54506411546,0,0,0,0,24.4432043075666,46.1571583741505,85.2691885130751,0,5623.41461531025,"Other_Asia",30430384.3275296,171122667976.938
"142","Montenegro",6.07424891131105,0,9.27010901071059,0,0,1.33466031888596,0,7.49361480055546,0,24.1726330414631,"Central_European_countries",35858506.9373052,866794529.610236
"143","Montserrat",0,0,0.354936606265946,0,0,0,0,0.253079247794707,0,0.608015854060653,"Latin_America",29607941.5078667,18002097.8428834
"144","Mozambique",292.110193148624,6416.35092187832,36287.9252369222,0,0,3820.63135614578,3642.51984739111,7819.68580701291,3069.02677169121,61348.2501341902,"Africa",29607941.5078667,1816395401583.08
"145","Myanmar",2219.41693314867,226849.194444305,8119.75946980266,918.69575450962,0,2256.44525789892,16246.3504473751,517.491507758952,11974.2369084729,269101.590723272,"Other_Asia",30430384.3275296,8188864828858.74
"146","Namibia",48.2006945983891,0,553.513198159794,0,0,1357.90693118349,9.29605169655391,5.86403135134076,0,1974.78090698957,"Africa",29607941.5078667,58469197584.999
"147","Nepal",15975.077988402,41945.1176369889,18282.5758025199,130.028043169263,0,1508.89741101393,0,1144.05399865284,4865.01476243247,83850.7656431793,"Other_Asia",30430384.3275296,2551611024679.56
"148","New_Caledonia",0,0,17.7468303132973,0,0,0,0,2.59251912375065,0,20.339349437048,"Other_Asia",30430384.3275296,618934220.341293
"149","New_Zealand",1196.53963626337,0,508.916457513673,0,0,267.647973526786,14.0133132823921,65.3685179059986,0,2052.48589849222,"Oceania",29607941.5078667,60769882428.2788
"150","Nicaragua",0,2500.75516593523,7123.66120225313,9.92236383218792,87.0524843538573,180.736529926074,300.593878195818,67.5166051799634,4340.86923753564,14611.1074672119,"Latin_America",29607941.5078667,432604815254.364
"151","Niger",57.6398152087718,379.188038442814,258.853179087365,0,0,54078.5031649352,7346.0779210162,41.6407952590998,370.69817402928,62532.6010879787,"Africa",29607941.5078667,1851461595347.63
"152","Nigeria",1556.62460769648,68883.892013826,90475.0947415971,1530.93330085137,69641.9874830859,47680.970006049,25748.1245988026,23129.9062549557,3643.17826799861,332290.711274863,"Africa",29607941.5078667,9838443943033.55
"153","Niue",0,0,0,0,0,0,0,0.0493813166428696,0,0.0493813166428696,"Other_Asia",30430384.3275296,1502692.44404196
"154","Norway",1574.97845332778,0,1.08568844269584,0,0,782.080265020761,54.7793155584418,81.7260790439492,0,2494.64980139363,"Western_Europe",28785498.6882037,71809738585.5439
"155","Occupied_Palestinian_Territory",212.249114836243,0,11.3579714005103,0,0,23.4358170170665,0.0461571583741505,8.52444978547536,0,255.613510197669,"Middle_East",29607941.5078667,7568189858.55307
"156","Oman",12.1047981901666,0,70.9873212531892,0,0,2.70511612525162,0,2.10487862190232,3.90796267801952,91.8100768685293,"Middle_East",29607941.5078667,2718307385.75616
"157","Panama",0,2980.35398656894,994.908185987345,1.24368982899345,131.666882585209,6.77046077473184,0,19.0426702304066,2598.63567220225,6732.62154817788,"Latin_America",29607941.5078667,199339064993.053
"158","Papua_New_Guinea",0,11.5815030784192,526.14132222952,0,2938.02134694269,5.45114137905146,12.0285554723036,90.8801406166211,685.88732716261,4269.99133688121,"Other_Asia",30430384.3275296,129937477456.517
"159","Paraguay",12253.3769405152,1684.16009068963,16578.337248222,14506.4144582595,348.209937415429,127.779663020392,2361.40945385321,1096.16029417384,7975.43403677453,56931.2821229237,"Latin_America",29607941.5078667,1685618071063.38
"160","Peru",3371.09889669649,11005.5144375436,11352.709987288,7.74997985141333,414.696272340688,788.252429790475,38.8920216460592,2439.93702798877,6139.72838453014,35558.5794376756,"Latin_America",29607941.5078667,1052816340093.53
