"","ITEM","kcal_100g","kj_100g","kj_t"
"127","SOYA PASTE",114,477.2952,4772952
"128","SOYA CURD",58,242.8344,2428344
"129","GROUNDNUTS, WITH SHELL",414,1733.3352,17333352
"130","GROUNDNUTS SHELLED",567,2373.9156,23739156
"131","CAKE OF GROUNDNUTS",363,1519.8084,15198084
"132","GROUNDNUTS PREPARED",580,2428.344,24283440
"133","PEANUT BUTTER",589,2466.0252,24660252
"134","COCONUTS",184,770.3712,7703712
"135","COCONUTS DESICCATED",660,2763.288,27632880
"136","COPRA",636,2662.8048,26628048
"137","OIL PALM FRUIT",158,661.5144,6615144
"138","PALM KERNELS",514,2152.0152,21520152
"139","OLIVES",175,732.69,7326900
"140","OLIVES,PRESERVED",109,456.3612,4563612
"141","KARITE NUTS",579,2424.1572,24241572
"142","SUNFLOWER SEED",308,1289.5344,12895344
"143","RAPESEED",494,2068.2792,20682792
"144","SAFFLOWER",314,1314.6552,13146552
"145","SESAME SEED",573,2399.0364,23990364
"146","CAKE OF SESAME SEED",376,1574.2368,15742368
"147","MUSTARD SEED",469,1963.6092,19636092
"148","FLOUR OF MUSTARD SEED",469,1963.6092,19636092
"149","POPPY SEED",533,2231.5644,22315644
"150","MELONSEED",400,1674.72,16747200
"151","COTTONSEED",253,1059.2604,10592604
"152","LINSEED",498,2085.0264,20850264
"153","OILSEEDS NES",387,1620.2916,16202916
"154","FLOUR/MEAL OF OILSEEDS",393,1645.4124,16454124
"155","VEGETABLES AND PRODUCTS",NA,NA,NA
"156","CABBAGES",19,79.5492,795492
"157","ARTICHOKES",20,83.736,837360
"158","ASPARAGUS",12,50.2416,502416
"159","LETTUCE",12,50.2416,502416
"160","SPINACH",16,66.9888,669888
"161","CASSAVA LEAVES",53,221.9004,2219004
"162","TOMATOES",17,71.1756,711756
"163","TOMATO JUICE",17,71.1756,711756
"164","TOMATO JUICE CONCENTRATED",76,318.1968,3181968
"165","TOMATO PASTE",84,351.6912,3516912
"166","TOMATOES PEELED",19,79.5492,795492
"167","CAULIFLOWER",9,37.6812,376812
"168","PUMPKINS, SQUASH, GOURDS",19,79.5492,795492
"169","CUCUMBERS, GHERINKS",13,54.4284,544284
"170","EGGPLANTS",21,87.9228,879228
"171","CHILLIES, PEPPERS,GREEN",25,104.67,1046700
"172","ONIONS,SHALLOTS, GREEN",24,100.4832,1004832
"173","ONIONS, DRY",31,129.7908,1297908
"174","GARLIC",130,544.284,5442840
"175","LEEKS",37,154.9116,1549116
"176","BEANS, GREEN",50,209.34,2093400
"177","PEAS, GREEN",31,129.7908,1297908
