"","Area","Wheat","Rice","Maize","soya","Oil_Palm","Cereals","Oil_crops","Roots","sugarcane"
"160","Peru",3637.9665299438,12841.9393991771,11643.7129063927,5.38509176129743,955.436631692024,870.507694034188,33.7190586430963,2434.22518134779,8274.97690348828
"161","Puerto_Rico",NA,0.841833832359894,13.6335775255255,NA,NA,NA,NA,0.315736760951333,NA
"162","Qatar",0.0516987932092314,NA,4.81573141627432,NA,NA,1.35445865234341,NA,0.0175409311639629,NA
"163","Republic_of_Korea",185.598667621141,27460.8216516995,348.293926494835,343.890393639329,NA,192.66742055547,49.9192767621257,125.546291317537,NA
"164","Republic_of_Moldova",8992.77243417636,NA,10237.2554571465,243.149100458993,NA,559.477878225424,3041.128985495,133.02457497044,NA
"165","Réunion",NA,2.02040119766375,40.2630329826405,NA,NA,NA,14.6573402029314,5.76511937588915,2138.32282744611
"166","Rwanda",896.896513990351,800.415607807787,5126.88483883268,173.797041890701,NA,851.741237131932,246.79767503259,2092.06593108648,527.780823785683
"167","Saint_Kitts_and_Nevis",NA,NA,NA,NA,NA,NA,0.143523527078888,0.0409288393825802,NA
"168","Saint_Lucia",NA,NA,NA,NA,NA,NA,NA,3.42048157697277,NA
"169","Saint_Vincent_and_the_Grenadines",NA,NA,0.769637440957083,NA,NA,NA,0.618945210527705,0.613932590738703,67.8614593831669
"170","Samoa",NA,NA,1.27539918787174,NA,NA,NA,NA,0.198797219858247,0.0915809168463791
"171","Sao_Tome_and_Principe",NA,NA,7.96025010361326,NA,43.9988653027178,NA,NA,1.93534940509058,NA
"172","Saudi_Arabia",3017.08987289753,NA,274.298783957104,NA,NA,615.356502201889,4.49408044165768,99.8254392541131,NA
"173","Senegal",NA,4544.99351420448,3218.42587131199,NA,286.908207791884,4847.59022577554,7881.76492372554,191.80423530088,551.866604916281
"174","Serbia",15632.3708978481,NA,23292.5933784604,710.560324284318,NA,571.189622827814,1661.11439174972,303.966796140314,NA
"175","Seychelles",NA,NA,NA,NA,NA,NA,NA,0.152021403421012,NA
"176","Sierra_Leone",NA,20765.5151428215,758.46670324262,NA,707.135520738016,416.083934346055,678.148665447746,2266.30584731518,101.196913115249
"177","Solomon_Islands",NA,49.1294224565234,NA,NA,407.307414926605,NA,NA,1.09923168627501,NA
"178","Somalia",66.3812504806531,10.1020059883187,3588.26964615362,NA,NA,1580.39388286197,69.3936253426424,55.8152429637301,549.119177410889
"179","South_Sudan",NA,NA,6113.12024531626,NA,NA,4238.88498010473,2395.04885812894,581.908697410361,NA
"180","Sri_Lanka",NA,29666.2242523627,1476.80231134962,28.694385441507,NA,31.6770415033165,128.310033208526,170.462769051392,1909.73685899754
"181","Sudan",5762.24409351451,525.910431751873,993.931780893147,NA,NA,66448.0123878156,20128.8158639963,139.982477665479,6399.30814555759
"182","Suriname",NA,2094.85298179766,0.791627082127285,0.0414592180082779,16.8365600175718,NA,0.188374629291041,1.49097914893685,274.742750539137
"183","Swaziland",9.51257795049857,1.14489401200946,1916.70508295952,NA,NA,9.52155614328217,44.716548905516,22.2535946700143,5160.21834062608
"184","Switzerland",2242.66780001985,NA,349.393408553345,6.89144334893153,NA,165.84913923907,243.460753028006,66.3105667768346,NA
"185","Syrian_Arab_Republic",33291.0759955321,NA,541.384965610382,0.608068530788076,NA,7051.07543429235,99.0312336844327,174.695980438962,NA
"186","Tajikistan",7562.83551280223,374.043608394148,321.532533190699,0.382346121631896,NA,424.683305874976,67.1331297911499,207.819105453578,NA
"187","The_former_Yugoslav_Republic_of_Macedonia",1982.28682802156,174.225929945204,686.978379798292,0.557396153222403,NA,261.618011440509,63.7244460230263,78.1506953125095,NA
"188","Timor-Leste",NA,959.08444853098,812.75912729185,3.81885463654026,NA,NA,27.5923980809162,44.2791572348971,NA
"189","Togo",NA,2824.92495457345,15317.7201634689,17.2470346914436,429.128817487144,2027.76869390407,548.259873441352,1652.29139889771,NA
"190","Tonga",NA,NA,NA,NA,NA,NA,19.6716934302501,3.01119318314697,NA
"191","Trinidad_and_Tobago",NA,111.795532937394,44.880857628383,NA,NA,NA,NA,2.52589408761066,NA
"192","Tunisia",18686.0118175446,NA,NA,NA,NA,3114.67853500586,128.498407837817,141.964602887007,NA
"193","Turkmenistan",25634.019432106,4250.82309982464,829.449264940033,NA,NA,122.823463325268,NA,87.9443818790555,NA
"194","Uganda",361.89155246462,3198.9685629676,24258.6422943497,214.431682118592,NA,3158.48230418803,5987.62214532236,5209.3583598672,4878.05753582239
"195","United_Arab_Emirates",0.594536121906161,NA,3.98012505180663,NA,NA,0.0922184614361469,NA,0.368359554443222,NA
"196","United_Republic_of_Tanzania",2604.6885994675,32232.7398937549,91459.997233982,27.2110667527664,132.352656089794,7052.66620275212,29972.8703308262,5789.02766506563,5127.15762964454
"197","Uruguay",10313.9092452417,5636.91934148185,2885.78856933034,6087.13451957094,NA,1005.181229654,116.612865751597,23.6276342778581,714.331151401757
"198","Vanuatu",NA,NA,31.7530418497722,NA,NA,NA,20.4790132700688,NA,NA
"199","Venezuela_(Bolivarian_Republic_of)",1.39586741664925,7630.2808364502,13236.0048131682,20.9092656155082,1007.03992515978,356.309080373913,223.87876180218,321.244613336817,9421.56998240495
"200","Wallis_and_Futuna_Islands",NA,NA,0.263875694042428,NA,NA,NA,NA,0.877046558198147,0.0915809168463791
"201","Western_Sahara",NA,NA,NA,NA,NA,20.1727884391571,NA,NA,NA
"202","Yemen",2887.79119108125,NA,1023.72774467877,NA,NA,3278.35477674734,NA,120.395104532387,NA
"203","Zambia",727.893158989373,1118.191042847,26501.9595176102,524.039909044854,NA,347.363889614606,2695.54227272992,933.335406303304,3546.37942395919
"204","Zimbabwe",610.278404438372,10.4724128745571,23089.057259789,279.23243986553,NA,2350.80420066106,1370.19220236082,315.596433502021,3949.06071533271
