"","X.2","X.1","X","Area","Item","Year","Area_harvested_ha","Production_t","kj_t_crop"
"835",15182,195046,195046,"Croatia","SORGHUM",2000,139,596,14360724
"836",15183,195052,195052,"Croatia","SORGHUM",2006,300,800,14360724
"837",15184,195056,195056,"Croatia","SORGHUM",2010,390,1000,14360724
"838",15185,195060,195060,"Croatia","SORGHUM",2014,0,0,14360724
"839",15186,195071,195071,"Croatia","SOYBEANS",2000,47484,65299,14025780
"840",15187,195077,195077,"Croatia","SOYBEANS",2006,62810,174214,14025780
"841",15188,195081,195081,"Croatia","SOYBEANS",2010,56456,153580,14025780
"842",15189,195085,195085,"Croatia","SOYBEANS",2014,47104,131424,14025780
"843",15198,195146,195146,"Croatia","SUNFLOWER SEED",2000,25715,53956,12895344
"844",15199,195152,195152,"Croatia","SUNFLOWER SEED",2006,35308,81614,12895344
"845",15200,195156,195156,"Croatia","SUNFLOWER SEED",2010,26412,61789,12895344
"846",15201,195160,195160,"Croatia","SUNFLOWER SEED",2014,34869,99489,12895344
"847",15242,195421,195421,"Croatia","WHEAT",2000,182333,865260,13983912
"848",15243,195427,195427,"Croatia","WHEAT",2006,175551,804601,13983912
"849",15244,195431,195431,"Croatia","WHEAT",2010,168507,681017,13983912
"850",15245,195435,195435,"Croatia","WHEAT",2014,156139,648917,13983912
"851",15495,198870,198870,"Cyprus","BARLEY",2000,45000,37600,13900176
"852",15496,198876,198876,"Cyprus","BARLEY",2006,48914,58372,13900176
"853",15497,198880,198880,"Cyprus","BARLEY",2010,24150,46062,13900176
"854",15498,198884,198884,"Cyprus","BARLEY",2014,18939,2720,13900176
"855",15607,200387,200387,"Cyprus","GROUNDNUTS, WITH SHELL",2000,280,1100,17333352
"856",15608,200393,200393,"Cyprus","GROUNDNUTS, WITH SHELL",2006,170,1020,17333352
"857",15609,200397,200397,"Cyprus","GROUNDNUTS, WITH SHELL",2010,80,243,17333352
"858",15610,200401,200401,"Cyprus","GROUNDNUTS, WITH SHELL",2014,51,251,17333352
"859",15699,201593,201593,"Cyprus","POTATOES",2000,6500,117000,2805156
"860",15700,201599,201599,"Cyprus","POTATOES",2006,4290,127500,2805156
"861",15701,201603,201603,"Cyprus","POTATOES",2010,4255,82000,2805156
"862",15702,201607,201607,"Cyprus","POTATOES",2014,4912,114997,2805156
"863",15791,202840,202840,"Cyprus","WHEAT",2000,6150,10000,13983912
"864",15792,202846,202846,"Cyprus","WHEAT",2006,5389,7518,13983912
"865",15793,202850,202850,"Cyprus","WHEAT",2010,7833,18889,13983912
"866",15794,202854,202854,"Cyprus","WHEAT",2014,6135,4445,13983912
"867",15807,202936,202936,"Czechia","BARLEY",2000,494737,1629372,13900176
"868",15808,202942,202942,"Czechia","BARLEY",2006,528142,1897703,13900176
"869",15809,202946,202946,"Czechia","BARLEY",2010,388925,1584456,13900176
"870",15810,202950,202950,"Czechia","BARLEY",2014,350518,1967049,13900176
"871",15940,203734,203734,"Czechia","MAIZE",2000,47283,303957,14905008
"872",15941,203740,203740,"Czechia","MAIZE",2006,89798,606366,14905008
"873",15942,203744,203744,"Czechia","MAIZE",2010,103276,692589,14905008
"874",15943,203748,203748,"Czechia","MAIZE",2014,98749,832235,14905008
"875",15948,203782,203782,"Czechia","MILLET",2000,2000,2400,14235120
"876",15949,203788,203788,"Czechia","MILLET",2006,1328,1925,14235120
"877",15950,203792,203792,"Czechia","MILLET",2010,1047,1383,14235120
"878",15951,203796,203796,"Czechia","MILLET",2014,923,1199,14235120
"879",16005,204119,204119,"Czechia","POTATOES",2000,69198,1475992,2805156
"880",16006,204125,204125,"Czechia","POTATOES",2006,30026,692174,2805156
"881",16007,204129,204129,"Czechia","POTATOES",2010,27079,665176,2805156
"882",16008,204133,204133,"Czechia","POTATOES",2014,23993,697539,2805156
"883",16017,204191,204191,"Czechia","RAPESEED",2000,323842,844428,20682792
"884",16018,204197,204197,"Czechia","RAPESEED",2006,292247,880172,20682792
"885",16019,204201,204201,"Czechia","RAPESEED",2010,368824,1042418,20682792
"886",16020,204205,204205,"Czechia","RAPESEED",2014,389298,1537320,20682792
"887",16029,204263,204263,"Czechia","RYE",2000,43881,150052,13355892
"888",16030,204269,204269,"Czechia","RYE",2006,22481,74811,13355892
"889",16031,204273,204273,"Czechia","RYE",2010,30249,118233,13355892
"890",16032,204277,204277,"Czechia","RYE",2014,25137,129059,13355892
"891",16033,204290,204290,"Czechia","SOYBEANS",2000,1884,2348,14025780
"892",16034,204296,204296,"Czechia","SOYBEANS",2006,9640,17847,14025780
"893",16035,204300,204300,"Czechia","SOYBEANS",2010,9472,16135,14025780
"894",16036,204304,204304,"Czechia","SOYBEANS",2014,7242,16493,14025780
"895",16049,204386,204386,"Czechia","SUNFLOWER SEED",2000,30549,65421,12895344
"896",16050,204392,204392,"Czechia","SUNFLOWER SEED",2006,47071,100973,12895344
"897",16051,204396,204396,"Czechia","SUNFLOWER SEED",2010,27172,57358,12895344
"898",16052,204400,204400,"Czechia","SUNFLOWER SEED",2014,18607,42314,12895344
"899",16085,204605,204605,"Czechia","WHEAT",2000,970435,4084107,13983912
"900",16086,204611,204611,"Czechia","WHEAT",2006,781520,3506252,13983912
"901",16087,204615,204615,"Czechia","WHEAT",2010,833577,4161553,13983912
"902",16088,204619,204619,"Czechia","WHEAT",2014,835941,5442349,13983912
"903",16565,213517,213517,"Denmark","BARLEY",2000,741048,3979794,13900176
"904",16566,213523,213523,"Denmark","BARLEY",2006,679100,3270300,13900176
"905",16567,213527,213527,"Denmark","BARLEY",2010,575200,2981300,13900176
"906",16568,213531,213531,"Denmark","BARLEY",2014,604400,3547600,13900176
"907",16657,214736,214736,"Denmark","MAIZE",2000,NA,NA,14905008
"908",16658,214742,214742,"Denmark","MAIZE",2006,NA,NA,14905008
"909",16659,214746,214746,"Denmark","MAIZE",2010,9500,45700,14905008
"910",16660,214750,214750,"Denmark","MAIZE",2014,10100,72900,14905008
"911",16709,215456,215456,"Denmark","POTATOES",2000,38724,1645240,2805156
"912",16710,215462,215462,"Denmark","POTATOES",2006,38600,1361200,2805156
"913",16711,215466,215466,"Denmark","POTATOES",2010,38500,1357800,2805156
"914",16712,215470,215470,"Denmark","POTATOES",2014,40200,1733400,2805156
"915",16725,215677,215677,"Denmark","RAPESEED",2000,99318,293900,20682792
"916",16726,215683,215683,"Denmark","RAPESEED",2006,125400,434700,20682792
"917",16727,215687,215687,"Denmark","RAPESEED",2010,166500,579800,20682792
"918",16728,215691,215691,"Denmark","RAPESEED",2014,166100,708900,20682792
"919",16737,215845,215845,"Denmark","RYE",2000,50506,262468,13355892
"920",16738,215851,215851,"Denmark","RYE",2006,27500,130000,13355892
"921",16739,215855,215855,"Denmark","RYE",2010,52100,254700,13355892
"922",16740,215859,215859,"Denmark","RYE",2014,106500,677800,13355892
"923",16773,216349,216349,"Denmark","WHEAT",2000,627486,4693422,13983912
"924",16774,216355,216355,"Denmark","WHEAT",2006,686300,4801600,13983912
"925",16775,216359,216359,"Denmark","WHEAT",2010,763600,5059900,13983912
"926",16776,216363,216363,"Denmark","WHEAT",2014,662100,5153300,13983912
"927",17111,220803,220803,"Dominican_Republic","CASSAVA",2000,19130,125046,4563612
"928",17112,220809,220809,"Dominican_Republic","CASSAVA",2006,17784,128369,4563612
"929",17113,220813,220813,"Dominican_Republic","CASSAVA",2010,24221,204920,4563612
"930",17114,220817,220817,"Dominican_Republic","CASSAVA",2014,23442,178372,4563612
"931",17195,221971,221971,"Dominican_Republic","GROUNDNUTS, WITH SHELL",2000,1945,2282,17333352
"932",17196,221977,221977,"Dominican_Republic","GROUNDNUTS, WITH SHELL",2006,2205,2522,17333352
"933",17197,221981,221981,"Dominican_Republic","GROUNDNUTS, WITH SHELL",2010,2679,3841,17333352
"934",17198,221985,221985,"Dominican_Republic","GROUNDNUTS, WITH SHELL",2014,4219,5307,17333352
"935",17207,222139,222139,"Dominican_Republic","MAIZE",2000,19379,23919,14905008
"936",17208,222145,222145,"Dominican_Republic","MAIZE",2006,22230,30899,14905008
"937",17209,222149,222149,"Dominican_Republic","MAIZE",2010,20858,35078,14905008
"938",17210,222153,222153,"Dominican_Republic","MAIZE",2014,24216,35974,14905008
"939",17219,222307,222307,"Dominican_Republic","OIL PALM FRUIT",2000,7409,107580,6615144
"940",17220,222313,222313,"Dominican_Republic","OIL PALM FRUIT",2006,4400,62895,6615144
"941",17221,222317,222317,"Dominican_Republic","OIL PALM FRUIT",2010,3613,51073,6615144
"942",17222,222321,222321,"Dominican_Republic","OIL PALM FRUIT",2014,3534,49400,6615144
"943",17243,222637,222637,"Dominican_Republic","PALM KERNELS",2000,NA,6000,21520152
"944",17244,222643,222643,"Dominican_Republic","PALM KERNELS",2006,NA,7000,21520152
"945",17245,222647,222647,"Dominican_Republic","PALM KERNELS",2010,NA,10000,21520152
"946",17246,222651,222651,"Dominican_Republic","PALM KERNELS",2014,NA,13000,21520152
"947",17267,222971,222971,"Dominican_Republic","POTATOES",2000,1748,24893,2805156
"948",17268,222977,222977,"Dominican_Republic","POTATOES",2006,1906,42337,2805156
"949",17269,222981,222981,"Dominican_Republic","POTATOES",2010,2207,52381,2805156
"950",17270,222985,222985,"Dominican_Republic","POTATOES",2014,2516,67195,2805156
"951",17279,223139,223139,"Dominican_Republic","RICE, PADDY",2000,125381,581410,11723040
"952",17280,223145,223145,"Dominican_Republic","RICE, PADDY",2006,152313,713821,11723040
"953",17281,223149,223149,"Dominican_Republic","RICE, PADDY",2010,178430,850228,11723040
"954",17282,223153,223153,"Dominican_Republic","RICE, PADDY",2014,163157,718237,11723040
"955",17303,223474,223474,"Dominican_Republic","SORGHUM",2000,1934,4817,14360724
"956",17304,223480,223480,"Dominican_Republic","SORGHUM",2006,302,619,14360724
"957",17305,223484,223484,"Dominican_Republic","SORGHUM",2010,544,1150,14360724
"958",17306,223488,223488,"Dominican_Republic","SORGHUM",2014,1237,1595,14360724
"959",17311,223590,223590,"Dominican_Republic","SUGAR CANE",2000,119076,4510706,1256040
"960",17312,223596,223596,"Dominican_Republic","SUGAR CANE",2006,83369,4796548,1256040
"961",17313,223600,223600,"Dominican_Republic","SUGAR CANE",2010,79615,4577122,1256040
"962",17314,223604,223604,"Dominican_Republic","SUGAR CANE",2014,106044,5033601,1256040
"963",18934,246067,246067,"Ecuador","BARLEY",2000,44772,25121,13900176
"964",18935,246073,246073,"Ecuador","BARLEY",2006,37379,23438,13900176
"965",18936,246077,246077,"Ecuador","BARLEY",2010,26374,18733,13900176
"966",18937,246081,246081,"Ecuador","BARLEY",2014,15688,14490,13900176
"967",18962,246444,246444,"Ecuador","CASSAVA",2000,24341,84971,4563612
"968",18963,246450,246450,"Ecuador","CASSAVA",2006,20245,69397,4563612
"969",18964,246454,246454,"Ecuador","CASSAVA",2010,16813,53857,4563612
"970",18965,246458,246458,"Ecuador","CASSAVA",2014,18770,111294,4563612
"971",19050,247647,247647,"Ecuador","GROUNDNUTS, WITH SHELL",2000,11169,6211,17333352
"972",19051,247653,247653,"Ecuador","GROUNDNUTS, WITH SHELL",2006,15800,16700,17333352
"973",19052,247657,247657,"Ecuador","GROUNDNUTS, WITH SHELL",2010,16918,18463,17333352
"974",19053,247661,247661,"Ecuador","GROUNDNUTS, WITH SHELL",2014,17612,20715,17333352
"975",19074,247960,247960,"Ecuador","MAIZE",2000,402014,587516,14905008
"976",19075,247966,247966,"Ecuador","MAIZE",2006,390725,733627,14905008
"977",19076,247970,247970,"Ecuador","MAIZE",2010,440346,984096,14905008
"978",19077,247974,247974,"Ecuador","MAIZE",2014,485696,1667704,14905008
"979",19094,248240,248240,"Ecuador","OIL PALM FRUIT",2000,113686,1339400,6615144
"980",19095,248246,248246,"Ecuador","OIL PALM FRUIT",2006,143348,1673088,6615144
"981",19096,248250,248250,"Ecuador","OIL PALM FRUIT",2010,193502,2850465,6615144
"982",19097,248254,248254,"Ecuador","OIL PALM FRUIT",2014,272011,3468510,6615144
"983",19118,248570,248570,"Ecuador","PALM KERNELS",2000,NA,37160,21520152
"984",19119,248576,248576,"Ecuador","PALM KERNELS",2006,NA,87000,21520152
"985",19120,248580,248580,"Ecuador","PALM KERNELS",2010,NA,88000,21520152
"986",19121,248584,248584,"Ecuador","PALM KERNELS",2014,NA,110000,21520152
"987",19158,249128,249128,"Ecuador","POTATOES",2000,42554,239715,2805156
"988",19159,249134,249134,"Ecuador","POTATOES",2006,51713,360793,2805156
"989",19160,249138,249138,"Ecuador","POTATOES",2010,44245,386799,2805156
"990",19161,249142,249142,"Ecuador","POTATOES",2014,33208,421061,2805156
"991",19182,249462,249462,"Ecuador","RICE, PADDY",2000,338652,1246634,11723040
"992",19183,249468,249468,"Ecuador","RICE, PADDY",2006,357558,1501238,11723040
"993",19184,249472,249472,"Ecuador","RICE, PADDY",2010,393137,1706193,11723040
"994",19185,249476,249476,"Ecuador","RICE, PADDY",2014,354136,1379954,11723040
"995",19198,249670,249670,"Ecuador","RYE",2000,110,70,13355892
"996",19199,249676,249676,"Ecuador","RYE",2006,115,80,13355892
"997",19200,249680,249680,"Ecuador","RYE",2010,135,87,13355892
"998",19201,249684,249684,"Ecuador","RYE",2014,133,83,13355892
"999",19210,249823,249823,"Ecuador","SORGHUM",2000,7500,11025,14360724
"1000",19211,249829,249829,"Ecuador","SORGHUM",2006,7300,11000,14360724
"1001",19212,249833,249833,"Ecuador","SORGHUM",2010,7751,12599,14360724
"1002",19213,249837,249837,"Ecuador","SORGHUM",2014,8545,13286,14360724
"1003",19214,249879,249879,"Ecuador","SOYBEANS",2000,55156,94100,14025780
"1004",19215,249885,249885,"Ecuador","SOYBEANS",2006,20000,23000,14025780
"1005",19216,249889,249889,"Ecuador","SOYBEANS",2010,43000,70000,14025780
"1006",19217,249893,249893,"Ecuador","SOYBEANS",2014,26517,32681,14025780
"1007",19230,250083,250083,"Ecuador","SUGAR CANE",2000,77375,5402376,1256040
"1008",19231,250089,250089,"Ecuador","SUGAR CANE",2006,91236,6995613,1256040
"1009",19232,250093,250093,"Ecuador","SUGAR CANE",2010,106928,8347182,1256040
"1010",19233,250097,250097,"Ecuador","SUGAR CANE",2014,96892,8251306,1256040
"1011",19234,250110,250110,"Ecuador","SUNFLOWER SEED",2000,120,170,12895344
"1012",19235,250116,250116,"Ecuador","SUNFLOWER SEED",2006,170,260,12895344
"1013",19236,250120,250120,"Ecuador","SUNFLOWER SEED",2010,155,257,12895344
"1014",19237,250124,250124,"Ecuador","SUNFLOWER SEED",2014,146,261,12895344
"1015",19274,250670,250670,"Ecuador","WHEAT",2000,20873,12958,13983912
"1016",19275,250676,250676,"Ecuador","WHEAT",2006,9747,7577,13983912
"1017",19276,250680,250680,"Ecuador","WHEAT",2010,8533,7605,13983912
"1018",19277,250684,250684,"Ecuador","WHEAT",2014,6082,6814,13983912
"1019",19298,251006,251006,"Egypt","BARLEY",2000,48896,99392,13900176
"1020",19299,251012,251012,"Egypt","BARLEY",2006,90115,152900,13900176
"1021",19300,251016,251016,"Egypt","BARLEY",2010,87752,117113,13900176
"1022",19301,251020,251020,"Egypt","BARLEY",2014,60480,102244,13900176
"1023",19422,252715,252715,"Egypt","GROUNDNUTS, WITH SHELL",2000,60329,187169,17333352
"1024",19423,252721,252721,"Egypt","GROUNDNUTS, WITH SHELL",2006,55550,183970,17333352
"1025",19424,252725,252725,"Egypt","GROUNDNUTS, WITH SHELL",2010,66764,202906,17333352
"1026",19425,252729,252729,"Egypt","GROUNDNUTS, WITH SHELL",2014,57321,183438,17333352
"1027",19450,253107,253107,"Egypt","MAIZE",2000,843029,6474450,14905008
"1028",19451,253113,253113,"Egypt","MAIZE",2006,761524,6374300,14905008
"1029",19452,253117,253117,"Egypt","MAIZE",2010,968519,7041099,14905008
"1030",19453,253121,253121,"Egypt","MAIZE",2014,1039241,8059906,14905008
"1031",19510,253948,253948,"Egypt","POTATOES",2000,75018,1769910,2805156
"1032",19511,253954,253954,"Egypt","POTATOES",2006,92480,2312790,2805156
"1033",19512,253958,253958,"Egypt","POTATOES",2010,140550,3643217,2805156
"1034",19513,253962,253962,"Egypt","POTATOES",2014,172005,4611065,2805156
"1035",19530,254209,254209,"Egypt","RICE, PADDY",2000,659217,6000490,11723040
"1036",19531,254215,254215,"Egypt","RICE, PADDY",2006,670470,6755000,11723040
"1037",19532,254219,254219,"Egypt","RICE, PADDY",2010,459525,4329503,11723040
"1038",19533,254223,254223,"Egypt","RICE, PADDY",2014,573704,5467392,11723040
"1039",19542,254377,254377,"Egypt","RYE",2000,13000,26000,13355892
"1040",19543,254383,254383,"Egypt","RYE",2006,37500,75000,13355892
"1041",19544,254387,254387,"Egypt","RYE",2010,49000,98000,13355892
"1042",19545,254391,254391,"Egypt","RYE",2014,45000,90072,13355892
"1043",19554,254545,254545,"Egypt","SORGHUM",2000,162597,941188,14360724
"1044",19555,254551,254551,"Egypt","SORGHUM",2006,156000,887000,14360724
"1045",19556,254555,254555,"Egypt","SORGHUM",2010,140157,701629,14360724
"1046",19557,254559,254559,"Egypt","SORGHUM",2014,148465,804051,14360724
"1047",19558,254590,254590,"Egypt","SOYBEANS",2000,3867,10518,14025780
"1048",19559,254596,254596,"Egypt","SOYBEANS",2006,7470,23020,14025780
"1049",19560,254600,254600,"Egypt","SOYBEANS",2010,15233,43342,14025780
"1050",19561,254604,254604,"Egypt","SOYBEANS",2014,11979,39872,14025780
"1051",19578,254846,254846,"Egypt","SUGAR CANE",2000,133990,15705800,1256040
"1052",19579,254852,254852,"Egypt","SUGAR CANE",2006,137260,16656330,1256040
"1053",19580,254856,254856,"Egypt","SUGAR CANE",2010,134538,15708879,1256040
"1054",19581,254860,254860,"Egypt","SUGAR CANE",2014,139451,16055013,1256040
"1055",19582,254892,254892,"Egypt","SUNFLOWER SEED",2000,11717,45000,12895344
"1056",19583,254898,254898,"Egypt","SUNFLOWER SEED",2006,15610,37850,12895344
"1057",19584,254902,254902,"Egypt","SUNFLOWER SEED",2010,15611,39274,12895344
"1058",19585,254906,254906,"Egypt","SUNFLOWER SEED",2014,7023,22096,12895344
"1059",19630,255564,255564,"Egypt","WHEAT",2000,1034985,6564053,13983912
"1060",19631,255570,255570,"Egypt","WHEAT",2006,1286750,8274230,13983912
"1061",19632,255574,255574,"Egypt","WHEAT",2010,1287627,7177399,13983912
"1062",19633,255578,255578,"Egypt","WHEAT",2014,1425060,9279804,13983912
"1063",19666,256068,256068,"El_Salvador","CASSAVA",2000,1400,17287,4563612
"1064",19667,256074,256074,"El_Salvador","CASSAVA",2006,1288,16102,4563612
"1065",19668,256078,256078,"El_Salvador","CASSAVA",2010,1609,20091,4563612
"1066",19669,256082,256082,"El_Salvador","CASSAVA",2014,2216,36026,4563612
"1067",19726,256866,256866,"El_Salvador","GROUNDNUTS, WITH SHELL",2000,NA,NA,17333352
"1068",19727,256871,256871,"El_Salvador","GROUNDNUTS, WITH SHELL",2006,NA,NA,17333352
"1069",19736,257024,257024,"El_Salvador","MAIZE",2000,259259,582676,14905008
"1070",19737,257030,257030,"El_Salvador","MAIZE",2006,240978,742067,14905008
"1071",19738,257034,257034,"El_Salvador","MAIZE",2010,253894,768113,14905008
"1072",19739,257038,257038,"El_Salvador","MAIZE",2014,314343,819311,14905008
"1073",19740,257080,257080,"El_Salvador","MAIZE, GREEN",2000,NA,NA,2344608
"1074",19741,257086,257086,"El_Salvador","MAIZE, GREEN",2006,2918,28248,2344608
"1075",19742,257090,257090,"El_Salvador","MAIZE, GREEN",2010,2538,29920,2344608
"1076",19743,257094,257094,"El_Salvador","MAIZE, GREEN",2014,3038,35434,2344608
"1077",19788,257748,257748,"El_Salvador","POTATOES",2000,700,16184,2805156
"1078",19789,257754,257754,"El_Salvador","POTATOES",2006,232,5116,2805156
"1079",19790,257758,257758,"El_Salvador","POTATOES",2010,211,5326,2805156
"1080",19791,257762,257762,"El_Salvador","POTATOES",2014,253,6642,2805156
"1081",19800,257916,257916,"El_Salvador","RICE, PADDY",2000,8155,47204,11723040
"1082",19801,257922,257922,"El_Salvador","RICE, PADDY",2006,4194,31011,11723040
"1083",19802,257926,257926,"El_Salvador","RICE, PADDY",2010,4916,34479,11723040
"1084",19803,257930,257930,"El_Salvador","RICE, PADDY",2014,7099,41838,11723040
"1085",19816,258140,258140,"El_Salvador","SORGHUM",2000,93940,148942,14360724
"1086",19817,258146,258146,"El_Salvador","SORGHUM",2006,89149,164007,14360724
"1087",19818,258150,258150,"El_Salvador","SORGHUM",2010,96512,166009,14360724
"1088",19819,258154,258154,"El_Salvador","SORGHUM",2014,81639,140808,14360724
"1089",19820,258188,258188,"El_Salvador","SOYBEANS",2000,1100,2500,14025780
"1090",19821,258194,258194,"El_Salvador","SOYBEANS",2006,1700,3465,14025780
"1091",19822,258198,258198,"El_Salvador","SOYBEANS",2010,2500,4500,14025780
"1092",19823,258202,258202,"El_Salvador","SOYBEANS",2014,2650,5135,14025780
"1093",19824,258244,258244,"El_Salvador","SUGAR CANE",2000,68600,5140322,1256040
"1094",19825,258250,258250,"El_Salvador","SUGAR CANE",2006,60990,4878039,1256040
"1095",19826,258254,258254,"El_Salvador","SUGAR CANE",2010,63031,5126693,1256040
"1096",19827,258258,258258,"El_Salvador","SUGAR CANE",2014,79797,6782795,1256040
"1097",20056,260456,260456,"Estonia","BARLEY",2000,165072,347482,13900176
"1098",20057,260462,260462,"Estonia","BARLEY",2006,142057,302699,13900176
"1099",20058,260466,260466,"Estonia","BARLEY",2010,104800,254822,13900176
"1100",20059,260470,260470,"Estonia","BARLEY",2014,125800,458100,13900176
"1101",20165,261153,261153,"Estonia","POTATOES",2000,30900,471700,2805156
"1102",20166,261159,261159,"Estonia","POTATOES",2006,11510,152632,2805156
"1103",20167,261163,261163,"Estonia","POTATOES",2010,9359,163373,2805156
"1104",20168,261167,261167,"Estonia","POTATOES",2014,6400,117300,2805156
"1105",20177,261230,261230,"Estonia","RAPESEED",2000,28821,38598,20682792
"1106",20178,261236,261236,"Estonia","RAPESEED",2006,62492,84609,20682792
"1107",20179,261240,261240,"Estonia","RAPESEED",2010,98188,131022,20682792
"1108",20180,261244,261244,"Estonia","RAPESEED",2014,80000,166495,20682792
"1109",20193,261330,261330,"Estonia","RYE",2000,28937,60800,13355892
"1110",20194,261336,261336,"Estonia","RYE",2006,7282,17830,13355892
"1111",20195,261340,261340,"Estonia","RYE",2010,12600,25000,13355892
"1112",20196,261344,261344,"Estonia","RYE",2014,15400,49600,13355892
"1113",20221,261505,261505,"Estonia","WHEAT",2000,68969,146800,13983912
"1114",20222,261511,261511,"Estonia","WHEAT",2006,90842,219590,13983912
"1115",20223,261515,261515,"Estonia","WHEAT",2010,119389,327600,13983912
"1116",20224,261519,261519,"Estonia","WHEAT",2014,154400,615500,13983912
"1117",20237,261601,261601,"Ethiopia","BARLEY",2000,880360,803904,13900176
"1118",20238,261607,261607,"Ethiopia","BARLEY",2006,997868,1409688,13900176
"1119",20239,261611,261611,"Ethiopia","BARLEY",2010,1046555,1703347,13900176
"1120",20240,261615,261615,"Ethiopia","BARLEY",2014,993940,1953385,13900176
"1121",20349,262267,262267,"Ethiopia","GROUNDNUTS, WITH SHELL",2000,13550,11929,17333352
"1122",20350,262273,262273,"Ethiopia","GROUNDNUTS, WITH SHELL",2006,35468,34150,17333352
"1123",20351,262277,262277,"Ethiopia","GROUNDNUTS, WITH SHELL",2010,49603,71607,17333352
"1124",20352,262281,262281,"Ethiopia","GROUNDNUTS, WITH SHELL",2014,64649,103706,17333352
"1125",20377,262435,262435,"Ethiopia","MAIZE",2000,1655750,2682940,14905008
"1126",20378,262441,262441,"Ethiopia","MAIZE",2006,1526125,4029630,14905008
"1127",20379,262445,262445,"Ethiopia","MAIZE",2010,1963180,4986125,14905008
"1128",20380,262449,262449,"Ethiopia","MAIZE",2014,2114876,7234955,14905008
"1129",20390,262512,262512,"Ethiopia","MILLET",2000,361000,320090,14235120
"1130",20391,262518,262518,"Ethiopia","MILLET",2006,390977,500171,14235120
"1131",20392,262522,262522,"Ethiopia","MILLET",2010,408110,634826,14235120
"1132",20393,262526,262526,"Ethiopia","MILLET",2014,453909,915315,14235120
"1133",20458,262917,262917,"Ethiopia","POTATOES",2000,50000,385000,2805156
"1134",20459,262923,262923,"Ethiopia","POTATOES",2006,61812,449995,2805156
"1135",20460,262927,262927,"Ethiopia","POTATOES",2010,54007,447333,2805156
"1136",20461,262931,262931,"Ethiopia","POTATOES",2014,67362,921832,2805156
"1137",20470,262989,262989,"Ethiopia","RAPESEED",2000,20380,13905,20682792
"1138",20471,262995,262995,"Ethiopia","RAPESEED",2006,25001,24351,20682792
"1139",20472,262999,262999,"Ethiopia","RAPESEED",2010,13455,17916,20682792
"1140",20473,263003,263003,"Ethiopia","RAPESEED",2014,30083,53705,20682792
"1141",20474,263013,263013,"Ethiopia","RICE, PADDY",2000,8200,15000,11723040
"1142",20475,263019,263019,"Ethiopia","RICE, PADDY",2006,6421,11244,11723040
"1143",20476,263023,263023,"Ethiopia","RICE, PADDY",2010,29866,90412,11723040
"1144",20477,263027,263027,"Ethiopia","RICE, PADDY",2014,46832,131821,11723040
"1145",20502,263181,263181,"Ethiopia","SORGHUM",2000,1011150,1188080,14360724
"1146",20503,263187,263187,"Ethiopia","SORGHUM",2006,1468070,2173599,14360724
"1147",20504,263191,263191,"Ethiopia","SORGHUM",2010,1897734,3959897,14360724
"1148",20505,263195,263195,"Ethiopia","SORGHUM",2014,1834650,4339134,14360724
"1149",20506,263205,263205,"Ethiopia","SOYBEANS",2000,4900,4500,14025780
"1150",20507,263211,263211,"Ethiopia","SOYBEANS",2006,6320,3812,14025780
"1151",20508,263215,263215,"Ethiopia","SOYBEANS",2010,11261,15824,14025780
"1152",20509,263219,263219,"Ethiopia","SOYBEANS",2014,35260,72184,14025780
"1153",20514,263253,263253,"Ethiopia","SUGAR CANE",2000,22430,2176570,1256040
"1154",20515,263259,263259,"Ethiopia","SUGAR CANE",2006,25000,2750000,1256040
"1155",20516,263263,263263,"Ethiopia","SUGAR CANE",2010,23342,2976874,1256040
"1156",20517,263267,263267,"Ethiopia","SUGAR CANE",2014,30176,1561235,1256040
"1157",20558,263517,263517,"Ethiopia","WHEAT",2000,1062010,1235270,13983912
"1158",20559,263523,263523,"Ethiopia","WHEAT",2006,1459540,2219075,13983912
"1159",20560,263527,263527,"Ethiopia","WHEAT",2010,1553240,2855682,13983912
"1160",20561,263531,263531,"Ethiopia","WHEAT",2014,1663845,4231589,13983912
"1161",21850,283533,283533,"Finland","BARLEY",2000,559000,1984800,13900176
"1162",21851,283539,283539,"Finland","BARLEY",2006,563500,1972100,13900176
"1163",21852,283543,283543,"Finland","BARLEY",2010,417400,1340200,13900176
"1164",21853,283547,283547,"Finland","BARLEY",2014,496900,1854800,13900176
"1165",21958,285039,285039,"Finland","POTATOES",2000,32200,785200,2805156
"1166",21959,285045,285045,"Finland","POTATOES",2006,28000,575700,2805156
"1167",21960,285049,285049,"Finland","POTATOES",2010,25200,659100,2805156
"1168",21961,285053,285053,"Finland","POTATOES",2014,22000,600300,2805156
"1169",21970,285207,285207,"Finland","RAPESEED",2000,52500,70900,20682792
"1170",21971,285213,285213,"Finland","RAPESEED",2006,107900,148200,20682792
"1171",21972,285217,285217,"Finland","RAPESEED",2010,157700,178500,20682792
"1172",21973,285221,285221,"Finland","RAPESEED",2014,43000,62100,20682792
"1173",21982,285375,285375,"Finland","RYE",2000,44600,108200,13355892
"1174",21983,285381,285381,"Finland","RYE",2006,21900,50900,13355892
"1175",21984,285385,285385,"Finland","RYE",2010,25200,68500,13355892
"1176",21985,285389,285389,"Finland","RYE",2014,23700,74900,13355892
"1177",22010,285767,285767,"Finland","WHEAT",2000,149500,538300,13983912
"1178",22011,285773,285773,"Finland","WHEAT",2006,192300,684100,13983912
