"","X.2","X.1","X","Area","Item","Year","Area_harvested_ha","Production_t","kj_t_crop"
"73",2546,35029,35029,"Argentina","BARLEY",2000,247830,722490,13900176
"74",2547,35035,35035,"Argentina","BARLEY",2006,337592,1268465,13900176
"75",2548,35039,35039,"Argentina","BARLEY",2010,746435,2964075,13900176
"76",2549,35043,35043,"Argentina","BARLEY",2014,888873,2901492,13900176
"77",2570,35365,35365,"Argentina","CASSAVA",2000,17000,170000,4563612
"78",2571,35371,35371,"Argentina","CASSAVA",2006,17200,172000,4563612
"79",2572,35375,35375,"Argentina","CASSAVA",2010,18000,181800,4563612
"80",2573,35379,35379,"Argentina","CASSAVA",2014,18642,186057,4563612
"81",2650,36470,36470,"Argentina","GROUNDNUTS, WITH SHELL",2000,219260,419600,17333352
"82",2651,36476,36476,"Argentina","GROUNDNUTS, WITH SHELL",2006,163677,347323,17333352
"83",2652,36480,36480,"Argentina","GROUNDNUTS, WITH SHELL",2010,218828,611040,17333352
"84",2653,36484,36484,"Argentina","GROUNDNUTS, WITH SHELL",2014,409312,1165924,17333352
"85",2674,36806,36806,"Argentina","MAIZE",2000,3088715,16780650,14905008
"86",2675,36812,36812,"Argentina","MAIZE",2006,2447166,14445538,14905008
"87",2676,36816,36816,"Argentina","MAIZE",2010,2904035,22663095,14905008
"88",2677,36820,36820,"Argentina","MAIZE",2014,4836655,33087165,14905008
"89",2690,37030,37030,"Argentina","MILLET",2000,31650,47920,14235120
"90",2691,37036,37036,"Argentina","MILLET",2006,9770,15518,14235120
"91",2692,37040,37040,"Argentina","MILLET",2010,6675,9115,14235120
"92",2693,37044,37044,"Argentina","MILLET",2014,2250,2670,14235120
"93",2754,37916,37916,"Argentina","POTATOES",2000,80000,2220529,2805156
"94",2755,37922,37922,"Argentina","POTATOES",2006,68000,1943632,2805156
"95",2756,37926,37926,"Argentina","POTATOES",2010,66799,1936154,2805156
"96",2757,37930,37930,"Argentina","POTATOES",2014,62890,1824737,2805156
"97",2770,38140,38140,"Argentina","RAPESEED",2000,3725,6015,20682792
"98",2771,38146,38146,"Argentina","RAPESEED",2006,6160,9140,20682792
"99",2772,38150,38150,"Argentina","RAPESEED",2010,12405,23335,20682792
"100",2773,38154,38154,"Argentina","RAPESEED",2014,54600,104848,20682792
"101",2774,38196,38196,"Argentina","RICE, PADDY",2000,189050,903630,11723040
"102",2775,38202,38202,"Argentina","RICE, PADDY",2006,169025,1193492,11723040
"103",2776,38206,38206,"Argentina","RICE, PADDY",2010,215670,1243259,11723040
"104",2777,38210,38210,"Argentina","RICE, PADDY",2014,243200,1581810,11723040
"105",2782,38308,38308,"Argentina","RYE",2000,89495,129750,13355892
"106",2783,38314,38314,"Argentina","RYE",2006,14750,17483,13355892
"107",2784,38318,38318,"Argentina","RYE",2010,24100,44460,13355892
"108",2785,38322,38322,"Argentina","RYE",2014,51112,97398,13355892
"109",2794,38469,38469,"Argentina","SORGHUM",2000,719598,3344493,14360724
"110",2795,38475,38475,"Argentina","SORGHUM",2006,497640,2327865,14360724
"111",2796,38479,38479,"Argentina","SORGHUM",2010,755235,3637427,14360724
"112",2797,38483,38483,"Argentina","SORGHUM",2014,787657,3466410,14360724
"113",2798,38525,38525,"Argentina","SOYBEANS",2000,8637503,20135800,14025780
"114",2799,38531,38531,"Argentina","SOYBEANS",2006,15130038,40537364,14025780
"115",2800,38535,38535,"Argentina","SOYBEANS",2010,18130800,52675464,14025780
"116",2801,38539,38539,"Argentina","SOYBEANS",2014,19252552,53397715,14025780
"117",2814,38749,38749,"Argentina","SUGAR CANE",2000,280000,18400000,1256040
"118",2815,38755,38755,"Argentina","SUGAR CANE",2006,315000,26450000,1256040
"119",2816,38759,38759,"Argentina","SUGAR CANE",2010,266962,18889878,1256040
"120",2817,38763,38763,"Argentina","SUGAR CANE",2014,366961,24518477,1256040
"121",2818,38805,38805,"Argentina","SUNFLOWER SEED",2000,3477120,6069655,12895344
"122",2819,38811,38811,"Argentina","SUNFLOWER SEED",2006,2167074,3759736,12895344
"123",2820,38815,38815,"Argentina","SUNFLOWER SEED",2010,1495317,2232034,12895344
"124",2821,38819,38819,"Argentina","SUNFLOWER SEED",2014,1261640,2063410,12895344
"125",2866,39477,39477,"Argentina","WHEAT",2000,6222980,15478660,13983912
"126",2867,39483,39483,"Argentina","WHEAT",2006,5028140,12721976,13983912
"127",2868,39487,39487,"Argentina","WHEAT",2010,3325457,9016373,13983912
"128",2869,39491,39491,"Argentina","WHEAT",2014,5031385,14143425,13983912
"129",3776,50481,50481,"Australia","BARLEY",2000,3454000,6743000,13900176
"130",3777,50487,50487,"Australia","BARLEY",2006,4405727,9481741,13900176
"131",3778,50491,50491,"Australia","BARLEY",2010,4421596,7864551,13900176
"132",3779,50495,50495,"Australia","BARLEY",2014,3814113,9174417,13900176
"133",3900,52106,52106,"Australia","GROUNDNUTS, WITH SHELL",2000,17400,35100,17333352
"134",3901,52112,52112,"Australia","GROUNDNUTS, WITH SHELL",2006,11896,24508,17333352
"135",3902,52116,52116,"Australia","GROUNDNUTS, WITH SHELL",2010,11800,27400,17333352
"136",3903,52120,52120,"Australia","GROUNDNUTS, WITH SHELL",2014,5836,17262,17333352
"137",3932,52535,52535,"Australia","MAIZE",2000,82262,406043,14905008
"138",3933,52541,52541,"Australia","MAIZE",2006,67215,361991,14905008
"139",3934,52545,52545,"Australia","MAIZE",2010,59000,328000,14905008
"140",3935,52549,52549,"Australia","MAIZE",2014,52360,390364,14905008
"141",3936,52591,52591,"Australia","MAIZE, GREEN",2000,4234,45215,2344608
"142",3937,52597,52597,"Australia","MAIZE, GREEN",2006,3786,44349,2344608
"143",3938,52601,52601,"Australia","MAIZE, GREEN",2010,4979,61099,2344608
"144",3939,52605,52605,"Australia","MAIZE, GREEN",2014,6422,76184,2344608
"145",3948,52759,52759,"Australia","MILLET",2000,38961,56783,14235120
"146",3949,52765,52765,"Australia","MILLET",2006,35000,35000,14235120
"147",3950,52769,52769,"Australia","MILLET",2010,36327,36075,14235120
"148",3951,52773,52773,"Australia","MILLET",2014,35252,35878,14235120
"149",4024,53808,53808,"Australia","POTATOES",2000,42162,1199622,2805156
"150",4025,53814,53814,"Australia","POTATOES",2006,35268,1249605,2805156
"151",4026,53818,53818,"Australia","POTATOES",2010,36379,1278118,2805156
"152",4027,53822,53822,"Australia","POTATOES",2014,29505,1171259,2805156
"153",4044,54081,54081,"Australia","RAPESEED",2000,1459000,1775000,20682792
"154",4045,54087,54087,"Australia","RAPESEED",2006,971704,1418941,20682792
"155",4046,54091,54091,"Australia","RAPESEED",2010,1694955,1907272,20682792
"156",4047,54095,54095,"Australia","RAPESEED",2014,2720835,3832049,20682792
"157",4052,54193,54193,"Australia","RICE, PADDY",2000,133300,1100700,11723040
"158",4053,54199,54199,"Australia","RICE, PADDY",2006,102128,1002654,11723040
"159",4054,54203,54203,"Australia","RICE, PADDY",2010,18931,196684,11723040
"160",4055,54207,54207,"Australia","RICE, PADDY",2014,76692,819276,11723040
"161",4060,54305,54305,"Australia","RYE",2000,35000,20000,13355892
"162",4061,54311,54311,"Australia","RYE",2006,35000,20000,13355892
"163",4062,54315,54315,"Australia","RYE",2010,51679,30359,13355892
"164",4063,54319,54319,"Australia","RYE",2014,49641,29270,13355892
"165",4072,54473,54473,"Australia","SORGHUM",2000,622267,2115912,14360724
"166",4073,54479,54479,"Australia","SORGHUM",2006,766680,1932447,14360724
"167",4074,54483,54483,"Australia","SORGHUM",2010,497909,1507635,14360724
"168",4075,54487,54487,"Australia","SORGHUM",2014,531996,1282042,14360724
"169",4076,54529,54529,"Australia","SOYBEANS",2000,56000,104800,14025780
"170",4077,54535,54535,"Australia","SOYBEANS",2006,23889,50149,14025780
"171",4078,54539,54539,"Australia","SOYBEANS",2010,31300,59600,14025780
"172",4079,54543,54543,"Australia","SOYBEANS",2014,37000,80000,14025780
"173",4088,54697,54697,"Australia","SUGAR CANE",2000,419000,38164688,1256040
"174",4089,54703,54703,"Australia","SUGAR CANE",2006,397745,37128107,1256040
"175",4090,54707,54707,"Australia","SUGAR CANE",2010,389471,31234824,1256040
"176",4091,54711,54711,"Australia","SUGAR CANE",2014,375216,30517650,1256040
"177",4092,54753,54753,"Australia","SUNFLOWER SEED",2000,162000,170000,12895344
"178",4093,54759,54759,"Australia","SUNFLOWER SEED",2006,77516,81996,12895344
"179",4094,54763,54763,"Australia","SUNFLOWER SEED",2010,26600,41000,12895344
"180",4095,54767,54767,"Australia","SUNFLOWER SEED",2014,27000,38000,12895344
"181",4140,55406,55406,"Australia","WHEAT",2000,12141000,22108000,13983912
"182",4141,55412,55412,"Australia","WHEAT",2006,12442719,25150343,13983912
"183",4142,55416,55416,"Australia","WHEAT",2010,13881030,21834010,13983912
"184",4143,55420,55420,"Australia","WHEAT",2014,12613226,25303037,13983912
"185",4580,61422,61422,"Austria","BARLEY",2000,223762,854667,13900176
"186",4581,61428,61428,"Austria","BARLEY",2006,206443,914052,13900176
"187",4582,61432,61432,"Austria","BARLEY",2010,168891,777961,13900176
"188",4583,61436,61436,"Austria","BARLEY",2014,145825,845705,13900176
"189",4704,63042,63042,"Austria","MAIZE",2000,187802,1851728,14905008
"190",4705,63048,63048,"Austria","MAIZE",2006,181196,1746185,14905008
"191",4706,63052,63052,"Austria","MAIZE",2010,201137,1955989,14905008
"192",4707,63056,63056,"Austria","MAIZE",2014,216316,2334385,14905008
"193",4708,63098,63098,"Austria","MAIZE, GREEN",2000,348,6279,2344608
"194",4709,63104,63104,"Austria","MAIZE, GREEN",2006,470,8037,2344608
"195",4710,63108,63108,"Austria","MAIZE, GREEN",2010,584,9662,2344608
"196",4711,63112,63112,"Austria","MAIZE, GREEN",2014,716,12471,2344608
"197",4716,63196,63196,"Austria","MILLET",2000,1824,4100,14235120
"198",4717,63202,63202,"Austria","MILLET",2006,4000,7470,14235120
"199",4718,63206,63206,"Austria","MILLET",2010,3000,7000,14235120
"200",4719,63210,63210,"Austria","MILLET",2014,2678,9627,14235120
"201",4772,63974,63974,"Austria","POTATOES",2000,23737,694609,2805156
