"","X.1","X","Area","Item","Year","Area_harvested_ha","Production_t"
"925",12784,12784,"Albania","Fibre Crops Primary",2000,NA,292
"926",12790,12790,"Albania","Fibre Crops Primary",2006,NA,310
"927",12794,12794,"Albania","Fibre Crops Primary",2010,NA,230
"928",12798,12798,"Albania","Fibre Crops Primary",2014,NA,230
"929",12838,12838,"Albania","Figs",2000,1000,13100
"930",12844,12844,"Albania","Figs",2006,1300,16650
"931",12848,12848,"Albania","Figs",2010,1441,18387
"932",12852,12852,"Albania","Figs",2014,1543,19350
"933",12894,12894,"Albania","Fruit, citrus nes",2000,NA,NA
"934",12900,12900,"Albania","Fruit, citrus nes",2006,NA,NA
"935",12904,12904,"Albania","Fruit, citrus nes",2010,20,200
"936",12908,12908,"Albania","Fruit, citrus nes",2014,12,400
"937",12950,12950,"Albania","Fruit, fresh nes",2000,1200,3000
"938",12956,12956,"Albania","Fruit, fresh nes",2006,1016,12500
"939",12960,12960,"Albania","Fruit, fresh nes",2010,410,8947
"940",12964,12964,"Albania","Fruit, fresh nes",2014,268,10058
"941",12967,12967,"Albania","Fruit, stone nes",2006,NA,NA
"942",13008,13008,"Albania","Garlic",2000,1000,6200
"943",13014,13014,"Albania","Garlic",2006,265,5917
"944",13018,13018,"Albania","Garlic",2010,902,8132
"945",13022,13022,"Albania","Garlic",2014,615,8240
"946",13064,13064,"Albania","Grapes",2000,4613,79300
"947",13070,13070,"Albania","Grapes",2006,6915,127800
"948",13074,13074,"Albania","Grapes",2010,8630,184900
"949",13078,13078,"Albania","Grapes",2014,9625,203700
"950",13120,13120,"Albania","Hops",2000,225,150
"951",13126,13126,"Albania","Hops",2006,1500,1000
"952",13130,13130,"Albania","Hops",2010,2100,1550
"953",13134,13134,"Albania","Hops",2014,2238,1700
"954",13176,13176,"Albania","Leeks, other alliaceous vegetables",2000,900,15000
"955",13182,13182,"Albania","Leeks, other alliaceous vegetables",2006,1008,22495
"956",13186,13186,"Albania","Leeks, other alliaceous vegetables",2010,1436,20682
"957",13190,13190,"Albania","Leeks, other alliaceous vegetables",2014,1471,29900
"958",13232,13232,"Albania","Lemons and limes",2000,NA,NA
"959",13238,13238,"Albania","Lemons and limes",2006,100,860
"960",13242,13242,"Albania","Lemons and limes",2010,194,1637
"961",13246,13246,"Albania","Lemons and limes",2014,350,2933
"962",13288,13288,"Albania","Lettuce and chicory",2000,NA,NA
"963",13294,13294,"Albania","Lettuce and chicory",2006,307,6843
"964",13298,13298,"Albania","Lettuce and chicory",2010,858,8995
"965",13302,13302,"Albania","Lettuce and chicory",2014,1017,11810
"966",13344,13344,"Albania","Maize",2000,53000,205700
"967",13350,13350,"Albania","Maize",2006,48971,245400
"968",13354,13354,"Albania","Maize",2010,54200,362000
"969",13358,13358,"Albania","Maize",2014,55000,380000
"970",13400,13400,"Albania","Melons, other (inc.cantaloupes)",2000,NA,NA
"971",13406,13406,"Albania","Melons, other (inc.cantaloupes)",2006,1828,40805
"972",13410,13410,"Albania","Melons, other (inc.cantaloupes)",2010,2368,64622
"973",13414,13414,"Albania","Melons, other (inc.cantaloupes)",2014,1569,42460
"974",13456,13456,"Albania","Mushrooms and truffles",2000,NA,100
"975",13462,13462,"Albania","Mushrooms and truffles",2006,NA,100
"976",13466,13466,"Albania","Mushrooms and truffles",2010,NA,100
"977",13470,13470,"Albania","Mushrooms and truffles",2014,NA,100
"978",13512,13512,"Albania","Nuts, nes",2000,48,2103
"979",13518,13518,"Albania","Nuts, nes",2006,108,3602
"980",13522,13522,"Albania","Nuts, nes",2010,178,4803
"981",13526,13526,"Albania","Nuts, nes",2014,614,8856
"982",13568,13568,"Albania","Oats",2000,10700,15700
"983",13574,13574,"Albania","Oats",2006,13375,22600
"984",13578,13578,"Albania","Oats",2010,14000,27300
"985",13582,13582,"Albania","Oats",2014,14073,30000
"986",13595,13595,"Albania","Oil, palm",2000,NA,NA
"987",13601,13601,"Albania","Oil, palm",2006,NA,NA
"988",13605,13605,"Albania","Oil, palm",2010,NA,NA
"989",13648,13648,"Albania","Oilcrops, Cake Equivalent",2000,NA,2148
"990",13654,13654,"Albania","Oilcrops, Cake Equivalent",2006,NA,1664
"991",13658,13658,"Albania","Oilcrops, Cake Equivalent",2010,NA,1908
"992",13662,13662,"Albania","Oilcrops, Cake Equivalent",2014,NA,1492
"993",13702,13702,"Albania","Oilcrops, Oil Equivalent",2000,NA,9359
"994",13708,13708,"Albania","Oilcrops, Oil Equivalent",2006,NA,9917
"995",13712,13712,"Albania","Oilcrops, Oil Equivalent",2010,NA,16647
"996",13716,13716,"Albania","Oilcrops, Oil Equivalent",2014,NA,22529
"997",13756,13756,"Albania","Okra",2000,780,6200
"998",13762,13762,"Albania","Okra",2006,700,10500
"999",13766,13766,"Albania","Okra",2010,759,7972
"1000",13770,13770,"Albania","Okra",2014,744,8743
"1001",13812,13812,"Albania","Olives",2000,32600,36200
"1002",13818,13818,"Albania","Olives",2006,35000,40200
"1003",13822,13822,"Albania","Olives",2010,33513,70000
"1004",13826,13826,"Albania","Olives",2014,39964,98000
"1005",13868,13868,"Albania","Onions, dry",2000,2500,30000
"1006",13874,13874,"Albania","Onions, dry",2006,2764,61691
"1007",13878,13878,"Albania","Onions, dry",2010,4180,70344
"1008",13882,13882,"Albania","Onions, dry",2014,5599,94300
