Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"CS","Capital Stock","1","Armenia","6110","Value US$","22034","Net Capital Stocks (Agriculture, Forestry and Fishing)","2014","2014","millions","524.83","Cv","Calculated through value",""
"CS","Capital Stock","22","Aruba","6110","Value US$","22034","Net Capital Stocks (Agriculture, Forestry and Fishing)","2000","2000","millions","12.93","IM","FAO data based on imputation methodology",""
"CS","Capital Stock","22","Aruba","6110","Value US$","22034","Net Capital Stocks (Agriculture, Forestry and Fishing)","2006","2006","millions","18.64","IM","FAO data based on imputation methodology",""
"CS","Capital Stock","22","Aruba","6110","Value US$","22034","Net Capital Stocks (Agriculture, Forestry and Fishing)","2010","2010","millions","19.2","IM","FAO data based on imputation methodology",""
"CS","Capital Stock","22","Aruba","6110","Value US$","22034","Net Capital Stocks (Agriculture, Forestry and Fishing)","2014","2014","millions","22.76","IM","FAO data based on imputation methodology",""
"CS","Capital Stock","10","Australia","6110","Value US$","22034","Net Capital Stocks (Agriculture, Forestry and Fishing)","2000","2000","millions","43398.56","Cv","Calculated through value",""
"CS","Capital Stock","10","Australia","6110","Value US$","22034","Net Capital Stocks (Agriculture, Forestry and Fishing)","2006","2006","millions","81587.48","Cv","Calculated through value",""
"CS","Capital Stock","10","Australia","6110","Value US$","22034","Net Capital Stocks (Agriculture, Forestry and Fishing)","2010","2010","millions","113066.94","Cv","Calculated through value",""
"CS","Capital Stock","10","Australia","6110","Value US$","22034","Net Capital Stocks (Agriculture, Forestry and Fishing)","2014","2014","millions","121830.24","Cv","Calculated through value",""
"CS","Capital Stock","11","Austria","6110","Value US$","22034","Net Capital Stocks (Agriculture, Forestry and Fishing)","2000","2000","millions","26027.47","Cv","Calculated through value",""
"CS","Capital Stock","11","Austria","6110","Value US$","22034","Net Capital Stocks (Agriculture, Forestry and Fishing)","2006","2006","millions","42497.45","Cv","Calculated through value",""
"CS","Capital Stock","11","Austria","6110","Value US$","22034","Net Capital Stocks (Agriculture, Forestry and Fishing)","2010","2010","millions","52727.92","Cv","Calculated through value",""
"CS","Capital Stock","11","Austria","6110","Value US$","22034","Net Capital Stocks (Agriculture, Forestry and Fishing)","2014","2014","millions","55896.75","Cv","Calculated through value",""
"CS","Capital Stock","52","Azerbaijan","6110","Value US$","22034","Net Capital Stocks (Agriculture, Forestry and Fishing)","2000","2000","millions","2944.02","Cv","Calculated through value",""
"CS","Capital Stock","52","Azerbaijan","6110","Value US$","22034","Net Capital Stocks (Agriculture, Forestry and Fishing)","2006","2006","millions","3880.82","Cv","Calculated through value",""
"CS","Capital Stock","52","Azerbaijan","6110","Value US$","22034","Net Capital Stocks (Agriculture, Forestry and Fishing)","2010","2010","millions","6353.7","Cv","Calculated through value",""
"CS","Capital Stock","52","Azerbaijan","6110","Value US$","22034","Net Capital Stocks (Agriculture, Forestry and Fishing)","2014","2014","millions","7785.32","Cv","Calculated through value",""
"CS","Capital Stock","12","Bahamas","6110","Value US$","22034","Net Capital Stocks (Agriculture, Forestry and Fishing)","2000","2000","millions","175.62","IM","FAO data based on imputation methodology",""
"CS","Capital Stock","12","Bahamas","6110","Value US$","22034","Net Capital Stocks (Agriculture, Forestry and Fishing)","2006","2006","millions","214.07","IM","FAO data based on imputation methodology",""
