"","Country","Year","Area_harvested_ha","N_total_kj","N_total_t","production_kj","code_Area_Year","suitability","market","net_capital_stocks","net_capital_stocks14","Manure_kg"
"38","Bolivia_(Plurinational_State_of)",2006,2193897,1072617154764.88,36227.3464529743,61454306468124,"Bolivia_(Plurinational_State_of) 2006",37.65271672,389.7105322,1260.2,1487.036,70439186.31
"39","Bolivia_(Plurinational_State_of)",2010,2502694,1113718223931.23,37615.5236471039,68564646917676,"Bolivia_(Plurinational_State_of) 2010",37.65271672,389.7105322,1848.17,1996.0236,90519387.23
"40","Bolivia_(Plurinational_State_of)",2014,2981079,1323923605192.49,44715.1520088193,89062082164116,"Bolivia_(Plurinational_State_of) 2014",37.65271672,389.7105322,2927.45,2927.45,93535550.7
"41","Brazil",2000,37965347,36000296079415.1,1215900,1646741121717564,"Brazil 2000",37.46278576,874.8070531,42475.84,59041.4176,1340595338
"42","Brazil",2006,48697792,50664111473306.9,1711166.29164664,2314611349602552,"Brazil 2006",37.46278576,874.8070531,65977.32,77853.2376,1556941338
"43","Brazil",2010,52984598,55023545858339.6,1858404.97704713,3078698246789760,"Brazil 2010",37.46278576,874.8070531,110355.87,119184.3396,1740219631
"44","Brazil",2014,64364238,76326579204979.5,2577909.01082063,3738993155125416,"Brazil 2014",37.46278576,874.8070531,105074.49,105074.49,1753472066
"45","Bulgaria",2000,2322218,3611463912971.45,100714.285714286,68120917000200,"Bulgaria 2000",0,0,1234.41,1715.8299,58859851.67
"46","Bulgaria",2006,2314164,8236971322915.74,229707.59316101,95049731314440,"Bulgaria 2006",0,0,1684.92,1988.2056,48259429.18
"47","Bulgaria",2010,2691788,9779928230629.67,272736.626980282,132292806433596,"Bulgaria 2010",0,0,2103.66,2271.9528,40579592.98
"48","Bulgaria",2014,2971679,11185097718814.8,311923.129938754,171979716252204,"Bulgaria 2014",0,0,2419.21,2419.21,38435793.59
"49","Cambodia",2000,2040270,310389920140.802,10200,52000779646512,"Cambodia 2000",55.34789973,353.1302605,626.04,870.1956,58217232.68
"50","Cambodia",2006,2817953,2810761635483.79,92366.9449991456,92038539285792,"Cambodia 2006",55.34789973,353.1302605,807.19,952.4842,66388657.24
"51","Cambodia",2010,3347121,2639830550717.23,86749.8261705832,131663815137864,"Cambodia 2010",55.34789973,353.1302605,1251.79,1351.9332,66374489.69
"52","Cambodia",2014,3468110,3164753952068.3,103999.802237306,161333429186340,"Cambodia 2014",55.34789973,353.1302605,2142.78,2142.78,58859739.87
"53","Canada",2000,22956938,42734869108225.3,1371000,863993563397244,"Canada 2000",52.90569057,6632.006585,23235.32,32297.0948,245259761.3
"54","Canada",2006,21059147,39325128592948.9,1261610.30619738,877150502136288,"Canada 2006",52.90569057,6632.006585,31175.2,36786.736,259415413.7
"55","Canada",2010,20770970,52983628770949.5,1699795.89409788,950226785365140,"Canada 2010",52.90569057,6632.006585,38187.17,41242.1436,237131861.2
"56","Canada",2014,23894573,66550786038999.3,2135051.06166118,1122770999069064,"Canada 2014",52.90569057,6632.006585,42186.77,42186.77,238165634.1
"57","Chile",2000,606105,1231690366727.25,41600,37462773806640,"Chile 2000",50.55634595,1766.421086,5296.21,7361.7319,103245198.4
"58","Chile",2006,588367,2749357907614.62,92858.7996191539,49448182643136,"Chile 2006",50.55634595,1766.421086,8494.14,10023.0852,123279593.4
"59","Chile",2010,505729,2947447337717.4,99549.2150960336,48534760168308,"Chile 2010",50.55634595,1766.421086,12625.66,13635.7128,117502333.9
"60","Chile",2014,511192,2141727429351.12,72336.249002048,45663140309292,"Chile 2014",50.55634595,1766.421086,15598.09,15598.09,164692225.3
"61","China,_mainland",2000,112593430,528472345360189,13167300,6314546934889128,"China,_mainland 2000",54.92953288,1661.629198,60914.71,84671.4469,4588686976
"62","China,_mainland",2006,109650890,714709717237477,17807549.141227,6998938579577664,"China,_mainland 2006",54.92953288,1661.629198,108647.2,128203.696,4816914325
"63","China,_mainland",2010,117366980,726666594535987,18105464.0498025,7820094465315504,"China,_mainland 2010",54.92953288,1661.629198,248354.3,268222.644,5093851554
"64","China,_mainland",2014,121155332,563504497141970,14040153.3407777,8753731096627548,"China,_mainland 2014",54.92953288,1661.629198,441490.93,441490.93,4921752354
"65","Colombia",2000,1969051,3369383743595.23,113800,120785280540084,"Colombia 2000",37.82340166,1615.282682,7216.66,10031.1574,276717387.7
"66","Colombia",2006,2005055,1983323782746.18,66986.2098389792,134940775349664,"Colombia 2006",37.82340166,1615.282682,10555.52,12455.5136,271419848
"67","Colombia",2010,1925663,1750265280466.87,59114.7236629683,132885993304296,"Colombia 2010",37.82340166,1615.282682,16067.48,17352.8784,310390040.3
"68","Colombia",2014,2001976,2147179066383.14,72520.3765284611,158260306053960,"Colombia 2014",37.82340166,1615.282682,18073.19,18073.19,343638509.1
"69","Costa_Rica",2000,174902,556629300347.893,18800,13255635682692,"Costa_Rica 2000",59.11021155,3133.77,1395.03,1939.0917,26315903.77
