"","X.2","X.1","X","Area","Item","Year","Area_harvested_ha","Production_t"
"150",986,13595,13595,"Albania","Oil, palm",2000,NA,NA
"151",987,13601,13601,"Albania","Oil, palm",2006,NA,NA
"152",988,13605,13605,"Albania","Oil, palm",2010,NA,NA
"161",997,13756,13756,"Albania","Okra",2000,780,6200
"162",998,13762,13762,"Albania","Okra",2006,700,10500
"163",999,13766,13766,"Albania","Okra",2010,759,7972
"164",1000,13770,13770,"Albania","Okra",2014,744,8743
"165",1001,13812,13812,"Albania","Olives",2000,32600,36200
"166",1002,13818,13818,"Albania","Olives",2006,35000,40200
"167",1003,13822,13822,"Albania","Olives",2010,33513,70000
"168",1004,13826,13826,"Albania","Olives",2014,39964,98000
"169",1005,13868,13868,"Albania","Onions, dry",2000,2500,30000
"170",1006,13874,13874,"Albania","Onions, dry",2006,2764,61691
"171",1007,13878,13878,"Albania","Onions, dry",2010,4180,70344
"172",1008,13882,13882,"Albania","Onions, dry",2014,5599,94300
"173",1009,13924,13924,"Albania","Onions, shallots, green",2000,1000,12500
"174",1010,13930,13930,"Albania","Onions, shallots, green",2006,596,13299
"175",1011,13934,13934,"Albania","Onions, shallots, green",2010,2297,33415
"176",1012,13938,13938,"Albania","Onions, shallots, green",2014,1541,26770
"177",1013,13980,13980,"Albania","Oranges",2000,489,2600
"178",1014,13986,13986,"Albania","Oranges",2006,524,3670
"179",1015,13990,13990,"Albania","Oranges",2010,370,6631
"180",1016,13994,13994,"Albania","Oranges",2014,222,4120
"181",1017,14036,14036,"Albania","Peaches and nectarines",2000,230,2000
"182",1018,14042,14042,"Albania","Peaches and nectarines",2006,900,7540
"183",1019,14046,14046,"Albania","Peaches and nectarines",2010,1008,11525
"184",1020,14050,14050,"Albania","Peaches and nectarines",2014,1064,14420
"185",1021,14092,14092,"Albania","Pears",2000,256,2750
"186",1022,14098,14098,"Albania","Pears",2006,450,4760
"187",1023,14102,14102,"Albania","Pears",2010,563,7326
"188",1024,14106,14106,"Albania","Pears",2014,650,10370
"189",1025,14148,14148,"Albania","Peas, green",2000,NA,NA
"190",1026,14154,14154,"Albania","Peas, green",2006,300,1914
"191",1027,14158,14158,"Albania","Peas, green",2010,347,3071
"192",1028,14162,14162,"Albania","Peas, green",2014,411,4100
"193",1029,14204,14204,"Albania","Plums and sloes",2000,2400,12100
"194",1030,14210,14210,"Albania","Plums and sloes",2006,2000,18000
"195",1031,14214,14214,"Albania","Plums and sloes",2010,2198,26083
"196",1032,14218,14218,"Albania","Plums and sloes",2014,2272,33180
"197",1033,14260,14260,"Albania","Potatoes",2000,11400,161000
"198",1034,14266,14266,"Albania","Potatoes",2006,9523,162600
"199",1035,14270,14270,"Albania","Potatoes",2010,9000,208000
"200",1036,14274,14274,"Albania","Potatoes",2014,9600,240000
"209",1045,14428,14428,"Albania","Pumpkins, squash and gourds",2000,400,6200
"210",1046,14434,14434,"Albania","Pumpkins, squash and gourds",2006,241,5374
"211",1047,14438,14438,"Albania","Pumpkins, squash and gourds",2010,488,9726
"212",1048,14442,14442,"Albania","Pumpkins, squash and gourds",2014,516,11520
"213",1049,14484,14484,"Albania","Quinces",2000,444,845
"214",1050,14490,14490,"Albania","Quinces",2006,500,1500
"215",1051,14494,14494,"Albania","Quinces",2010,276,3195
"216",1052,14498,14498,"Albania","Quinces",2014,800,4090
"217",1053,14540,14540,"Albania","Rice, paddy",2000,NA,NA
"218",1054,14546,14546,"Albania","Rice, paddy",2006,NA,NA
"219",1055,14550,14550,"Albania","Rice, paddy",2010,NA,NA
"220",1056,14554,14554,"Albania","Rice, paddy",2014,0,0
"225",1061,14652,14652,"Albania","Rye",2000,1300,1500
"226",1062,14658,14658,"Albania","Rye",2006,1349,2600
"227",1063,14662,14662,"Albania","Rye",2010,1100,2300
"228",1064,14666,14666,"Albania","Rye",2014,1375,3070
"233",1069,14764,14764,"Albania","Sorghum",2000,NA,NA
"234",1070,14770,14770,"Albania","Sorghum",2006,NA,NA
"235",1071,14774,14774,"Albania","Sorghum",2010,NA,NA
"236",1072,14778,14778,"Albania","Sorghum",2014,0,0
"237",1073,14801,14801,"Albania","Soybeans",2000,400,600
"238",1074,14807,14807,"Albania","Soybeans",2006,200,400
"239",1075,14811,14811,"Albania","Soybeans",2010,300,500
"240",1076,14815,14815,"Albania","Soybeans",2014,207,350
"245",1081,14913,14913,"Albania","Spinach",2000,600,6200
"246",1082,14919,14919,"Albania","Spinach",2006,283,6311
"247",1083,14923,14923,"Albania","Spinach",2010,1153,13768
"248",1084,14927,14927,"Albania","Spinach",2014,1254,18490
"249",1085,14969,14969,"Albania","Sugar beet",2000,1400,42000
"250",1086,14975,14975,"Albania","Sugar beet",2006,2000,50000
"251",1087,14979,14979,"Albania","Sugar beet",2010,2000,40000
"252",1088,14983,14983,"Albania","Sugar beet",2014,1893,36416
"253",1089,15025,15025,"Albania","Sunflower seed",2000,1900,2900
"254",1090,15031,15031,"Albania","Sunflower seed",2006,1300,2200
"255",1091,15035,15035,"Albania","Sunflower seed",2010,1300,2600
"256",1092,15039,15039,"Albania","Sunflower seed",2014,686,2000
"257",1093,15081,15081,"Albania","Tangerines, mandarins, clementines, satsumas",2000,NA,NA
"258",1094,15087,15087,"Albania","Tangerines, mandarins, clementines, satsumas",2006,100,1070
"259",1095,15091,15091,"Albania","Tangerines, mandarins, clementines, satsumas",2010,271,5037
"260",1096,15095,15095,"Albania","Tangerines, mandarins, clementines, satsumas",2014,491,13904
"265",1101,15193,15193,"Albania","Tomatoes",2000,5400,162000
"266",1102,15199,15199,"Albania","Tomatoes",2006,7385,164853
"267",1103,15203,15203,"Albania","Tomatoes",2010,6161,199283
"268",1104,15207,15207,"Albania","Tomatoes",2014,6297,234150
"289",1125,15529,15529,"Albania","Watermelons",2000,8300,250000
"290",1126,15535,15535,"Albania","Watermelons",2006,7576,169107
"291",1127,15539,15539,"Albania","Watermelons",2010,5488,199364
"292",1128,15543,15543,"Albania","Watermelons",2014,5748,216270
"293",1129,15585,15585,"Albania","Wheat",2000,112000,341100
"294",1130,15591,15591,"Albania","Wheat",2006,75000,230900
"295",1131,15595,15595,"Albania","Wheat",2010,73900,294900
"296",1132,15599,15599,"Albania","Wheat",2014,69998,280000
"301",1137,15697,15697,"Algeria","Apples",2000,13480,96517
"302",1138,15703,15703,"Algeria","Apples",2006,28658,283242
"303",1139,15707,15707,"Algeria","Apples",2010,52419,378637
"304",1140,15711,15711,"Algeria","Apples",2014,40418,462815
"305",1141,15753,15753,"Algeria","Apricots",2000,13390,56354
"306",1142,15759,15759,"Algeria","Apricots",2006,27362,167017
"307",1143,15763,15763,"Algeria","Apricots",2010,49495,198467
"308",1144,15767,15767,"Algeria","Apricots",2014,38590,216941
"309",1145,15809,15809,"Algeria","Artichokes",2000,4140,39480
"310",1146,15815,15815,"Algeria","Artichokes",2006,1713,25595
"311",1147,15819,15819,"Algeria","Artichokes",2010,3112,47582
"312",1148,15823,15823,"Algeria","Artichokes",2014,4705,81106
"313",1149,15865,15865,"Algeria","Bananas",2000,49,1378
"314",1150,15871,15871,"Algeria","Bananas",2006,1,11
"315",1151,15875,15875,"Algeria","Bananas",2010,16,507
"316",1152,15879,15879,"Algeria","Bananas",2014,14,391
"317",1153,15921,15921,"Algeria","Barley",2000,215630,163287
"318",1154,15927,15927,"Algeria","Barley",2006,812280,1235880
"319",1155,15931,15931,"Algeria","Barley",2010,1018792,1503900
"320",1156,15935,15935,"Algeria","Barley",2014,791843,939401
"325",1161,16033,16033,"Algeria","Beans, green",2000,5990,25523
"326",1162,16039,16039,"Algeria","Beans, green",2006,7766,35508
"327",1163,16043,16043,"Algeria","Beans, green",2010,9599,53487
"328",1164,16047,16047,"Algeria","Beans, green",2014,11456,79570
"337",1173,16187,16187,"Algeria","Carobs",2000,1210,3952
"338",1174,16193,16193,"Algeria","Carobs",2006,1028,3711
"339",1175,16197,16197,"Algeria","Carobs",2010,875,2829
"340",1176,16201,16201,"Algeria","Carobs",2014,788,3655
"345",1181,16287,16287,"Algeria","Cauliflowers and broccoli",2000,3660,43822
"346",1182,16293,16293,"Algeria","Cauliflowers and broccoli",2006,4476,59126
"347",1183,16297,16297,"Algeria","Cauliflowers and broccoli",2010,5262,87929
"348",1184,16301,16301,"Algeria","Cauliflowers and broccoli",2014,6967,155761
"357",1193,16455,16455,"Algeria","Cherries",2000,2260,4168
"358",1194,16461,16461,"Algeria","Cherries",2006,2440,5003
"359",1195,16465,16465,"Algeria","Cherries",2010,3719,5073
"360",1196,16469,16469,"Algeria","Cherries",2014,2736,8700
"369",1205,16618,16618,"Algeria","Chillies and peppers, green",2000,15900,174773
"370",1206,16624,16624,"Algeria","Chillies and peppers, green",2006,21131,275888
"371",1207,16628,16628,"Algeria","Chillies and peppers, green",2010,21688,380412
"372",1208,16632,16632,"Algeria","Chillies and peppers, green",2014,22281,532680
"389",1225,16879,16879,"Algeria","Cucumbers and gherkins",2000,3090,52837
"390",1226,16885,16885,"Algeria","Cucumbers and gherkins",2006,4274,93446
"391",1227,16889,16889,"Algeria","Cucumbers and gherkins",2010,4350,115540
"392",1228,16893,16893,"Algeria","Cucumbers and gherkins",2014,4506,180241
"393",1229,16935,16935,"Algeria","Dates",2000,101820,365616
"394",1230,16941,16941,"Algeria","Dates",2006,154372,492188
"395",1231,16945,16945,"Algeria","Dates",2010,161091,644741
"396",1232,16949,16949,"Algeria","Dates",2014,165378,934377
"397",1233,16975,16975,"Algeria","Eggplants (aubergines)",2000,3090,38406
"398",1234,16981,16981,"Algeria","Eggplants (aubergines)",2006,3499,54438
"399",1235,16985,16985,"Algeria","Eggplants (aubergines)",2010,4589,90683
"400",1236,16989,16989,"Algeria","Eggplants (aubergines)",2014,5090,138084
"405",1241,17085,17085,"Algeria","Figs",2000,36000,54326
"406",1242,17091,17091,"Algeria","Figs",2006,49180,91927
"407",1243,17095,17095,"Algeria","Figs",2010,46921,123763
"408",1244,17099,17099,"Algeria","Figs",2014,44395,128620
"409",1245,17141,17141,"Algeria","Fruit, citrus nes",2000,374,380
"410",1246,17147,17147,"Algeria","Fruit, citrus nes",2006,400,390
"411",1247,17151,17151,"Algeria","Fruit, citrus nes",2010,431,501
"412",1248,17155,17155,"Algeria","Fruit, citrus nes",2014,450,551
"425",1261,17335,17335,"Algeria","Garlic",2000,8930,35605
"426",1262,17341,17341,"Algeria","Garlic",2006,11433,53513
"427",1263,17345,17345,"Algeria","Garlic",2010,10574,64494
"428",1264,17349,17349,"Algeria","Garlic",2014,9197,92205
"429",1265,17391,17391,"Algeria","Grapefruit (inc. pomelos)",2000,140,1379
"430",1266,17397,17397,"Algeria","Grapefruit (inc. pomelos)",2006,94,2530
"431",1267,17401,17401,"Algeria","Grapefruit (inc. pomelos)",2010,79,1656
"432",1268,17405,17405,"Algeria","Grapefruit (inc. pomelos)",2014,83,2220
"433",1269,17447,17447,"Algeria","Grapes",2000,51020,203617
"434",1270,17453,17453,"Algeria","Grapes",2006,75187,398018
