Area;Year;fertilizer;Barley;Cassava;Groundnut;Maize;Millet;Oil_palm;Potato;Rapeseed;Paddy_rice;Rye; Sorghum ;Soy;Sugarcane;Sunflower;Wheat;Oil_crops_Nuts;Rapeseed_Mustard;Roots_Tubers_other_than_potato_Yam);Roots_tubers;Cereals_incl_pulses;Cereals;Oilseeds;Rye_oat_rice;Triticale;Cereals_other;Rye_Oat;Buckwheat_millet;Cereals_mixture;Sunflower_soya_linseed
Canada;2000;N  ;306.4;;;164.7;;;26.9;359.8;;5.6;;5.3;;;502.3;;;;;;;;;;;;;;
Croatia;1999;N  ;1.3;;;38.6;;;4.6;1.3;;0.1;;1.4;;3.4;17.8;;;;;;;;;;;;;;
Czech Rep;2000;N  ;26.3;;;28;;;3.9;49.1;;3.6;;;;0.5;79.6;;;;;;;;;2.6;;;;;
Denmark;1999-2000;N  ;64;;;2;;;5;8;;;;;;;96;;;;;;;;13;;;;;;
El Salvador;1998-99;N  ;;;;22.4;;;;;0.9;;;;9.7;;;;;;;;;;;;;;;;
Ethiopia;1995;N  ;7.5;;;7.5;23;;;;;;;;;;10;1;;;;;;;;;;;;;
Fiji;1994;N  ;;;;;;;;;0.9;;;;7.5;;;;;;;;;;;;;;;;
Finland;1999-2000;N  ;45;;;;;;2;5;;;;;;;13;;;;;;;;29;;;;;;
France;1999-2000;N  ;186;;;372;;;40;163;;;;;;;26;;;;;;;;;;;;;;55
Germany;1999-2000;N  ;308;;;154;;;40;126;;;;;;;482;;;;;;;;179;;;;;;10
Greece;1999-2000;N  ;10;;;41;;;10;;;;;;;;59;;;;;;;;7;;;;;;2
Hungary;1999-2000;N  ;26.6;;;13.8;;;7.4;5.5;;;;0.9;;26;75.6;;;;;;;;;;;;;;
Ireland;1999-2000;N  ;20;;;;;;2;;;;;;;;13;;;;;;;;2;;;;;;
Israel;1997;N  ;0.5;;0.4;5;;;2.5;;;;;;;;6.3;;;;;;;;;;;;;;
Italy;1999-2000;N  ;25;;;246;;;10;2;;;;;;;189;;;;;;;;38;;;;;;19
