"","Country","Year","Area_harvested_ha","production_kj","code_Area_Year","N_total_kj","N_total_t"
"68","Colombia",2014,2001976,158260306053960,"Colombia 2014",2147179066383.14,72520.3765284611
"69","Costa_Rica",2000,174902,13255635682692,"Costa_Rica 2000",556629300347.893,18800
"70","Costa_Rica",2006,176188,15523978859820,"Costa_Rica 2006",198191746096.538,6693.87117114776
"71","Costa_Rica",2010,214815,16233569530596,"Costa_Rica 2010",243610275476.156,8227.8693846862
"72","Costa_Rica",2014,208401,16281268905636,"Costa_Rica 2014",282442538506.683,9539.41828180251
"73","Croatia",2000,703487,37068175317276,"Croatia 2000",2456307725205.41,68500
"74","Croatia",2006,677706,49522638349728,"Croatia 2006",496989041456.605,13859.7248994649
"75","Croatia",2010,659676,49175101376424,"Croatia 2010",414267496946.379,11552.8373133517
"76","Croatia",2014,600476,49495732256340,"Croatia 2014",2554112709735,71227.5252899011
"77","Cyprus",2000,57930,1009755676800,"Cyprus 2000",164744851564.989,4594.30315526042
"78","Cyprus",2006,58763,1291849532928,"Cyprus 2006",163580623003.581,4561.83586476662
"79","Cyprus",2010,36318,1138646817216,"Cyprus 2010",112595819856.592,3140.00301388606
"80","Cyprus",2014,30037,426902163444,"Cyprus 2014",86391096417.099,2409.22179409602
"81","Czechia",2000,1983809,108811149896088,"Czechia 2000",5498030249446.91,191000
"82","Czechia",2006,1802253,107172455551632,"Czechia 2006",4800128157767.18,166755.080735644
"83","Czechia",2010,1789621,116532841355064,"Czechia 2010",5044651034045.51,175249.735593874
"84","Czechia",2014,1750408,152122648381380,"Czechia 2014",4974448583059.32,172810.922504457
"85","Denmark",2000,1557082,135151558958304,"Denmark 2000",5236331396751.75,181908.656628471
"86","Denmark",2006,1556900,127148351421600,"Denmark 2006",4031892098914.77,140066.779547128
"87","Denmark",2010,1605400,132081419214000,"Denmark 2010",4384767806278.45,152325.580799312
"88","Denmark",2014,1589400,151039245427200,"Denmark 2014",4063485053770.69,141164.309772264
"89","Dominican_Republic",2000,296002,14428031331744,"Dominican_Republic 2000",808296803164.76,27300
"90","Dominican_Republic",2006,284509,16177250874132,"Dominican_Republic 2006",375007926317.825,12665.7885425161
"91","Dominican_Republic",2010,312167,17957404295244,"Dominican_Republic 2010",358461548063.686,12106.9392131987
"92","Dominican_Republic",2014,328365,17002474638840,"Dominican_Republic 2014",474460802012.768,16024.781793314
"93","Ecuador",2000,1138322,42996423949524,"Ecuador 2000",1717260607456.27,58000
"94","Ecuador",2006,1145336,52795509648912,"Ecuador 2006",953359837309.349,32199.4636829462
"95","Ecuador",2010,1297837,69088922577288,"Ecuador 2010",1012443035639.21,34194.9822945378
"96","Ecuador",2014,1335436,79708729682268,"Ecuador 2014",1162991630655.35,39279.7192721538
"97","Egypt",2000,3046645,302545879918128,"Egypt 2000",14513812927156.2,490200
"98","Egypt",2006,3310729,337177755352440,"Egypt 2006",25811672952768.1,871782.084070588
"99","Egypt",2010,3365276,303665529549024,"Egypt 2010",23136570007729.5,781431.225186063
"100","Egypt",2014,3679729,365290599051288,"Egypt 2014",22146507362015.6,747992.134344475
"101","El_Salvador",2000,433154,17992884075804,"El_Salvador 2000",977062069759.6,33000
"102","El_Salvador",2006,401449,20108993404608,"El_Salvador 2006",344251521998.336,11626.999530071
"103","El_Salvador",2010,425211,20916164483208,"El_Salvador 2010",326826879129.687,11038.487057361
"104","El_Salvador",2014,491035,23582013966036,"El_Salvador 2014",444806216927.772,15023.206419453
"105","Estonia",2000,322699,9816443962848,"Estonia 2000",462574739491.237,12900
"106","Estonia",2006,314183,9694539084384,"Estonia 2006",942789114906.695,26291.9233239427
"107","Estonia",2010,344336,11625285044484,"Estonia 2010",1083514514404.83,30216.3867642129
"108","Estonia",2014,382000,19409846957640,"Estonia 2014",1213284987529.23,33835.3459515347
"109","Ethiopia",2000,5089730,94602934189152,"Ethiopia 2000",1426423626868.62,48177.0617687025
"110","Ethiopia",2006,6002602,155019654692856,"Ethiopia 2006",2864387125077.55,96743.8794864039
"111","Ethiopia",2010,7050353,211719975406848,"Ethiopia 2010",2835062303043.44,95753.4417679857
"112","Ethiopia",2014,7335582,279519328163808,"Ethiopia 2014",3380650656124.54,114180.53684098
"113","Finland",2000,837800,40230735112800,"Finland 2000",1954817063784.58,67909.7862767154
"114","Finland",2006,913600,42338864275200,"Finland 2006",2122479383769.47,73734.3273694702
"115","Finland",2010,836700,35214597021600,"Finland 2010",2035407478961.92,70709.4742741432
"116","Finland",2014,853000,44968032324000,"Finland 2014",1983428588800.51,68903.7424810473
"117","France",2000,10837919,1022226695318880,"France 2000",24206131575628.7,840914.094899749
"118","France",2006,10805578,964029777614748,"France 2006",31625887383515.2,1098674.29173549
"119","France",2010,11092608,1033094432787480,"France 2010",34250474152057.3,1189851.68619271
"120","France",2014,11429672,1151536899329496,"France 2014",35308833501790.2,1226618.78761405
"121","Germany",2000,7648740,687660313864032,"Germany 2000",36032160219204.1,1251746.95111223
"122","Germany",2006,7816200,702598559864400,"Germany 2006",20701986197032.9,719181.085631725
"123","Germany",2010,7774261,724567470003072,"Germany 2010",21800014689459.5,757326.281736197
"124","Germany",2014,7572600,840005358404400,"Germany 2014",21031786784959.8,730638.263827566
"125","Greece",2000,1310723,73248291040500,"Greece 2000",3602924912037.17,125164.582037054
"126","Greece",2006,1217524,69577958820528,"Greece 2006",4009917465191.29,139303.387050041
"127","Greece",2010,1234767,71804962664892,"Greece 2010",4162891946399.82,144617.676820231
"128","Greece",2014,1051312,64103085781200,"Greece 2014",3430665403094.42,119180.335913385
"129","Guatemala",2000,886297,41515844567616,"Guatemala 2000",2377517703081.69,80300
"130","Guatemala",2006,888662,53214432273972,"Guatemala 2006",905050755238.823,30567.8378552037
"131","Guatemala",2010,1193001,62858904724728,"Guatemala 2010",1120595502635.77,37847.8018249945
"132","Guatemala",2014,1331128,84225767635332,"Guatemala 2014",1395735859001.87,47140.5909333828
"133","Guinea",2000,1752110,35396321977368,"Guinea 2000",307922591681.813,10400
"134","Guinea",2006,2198795,46151840059416,"Guinea 2006",1391413309106.08,46994.5980113608
"135","Guinea",2010,2902860,50004761641884,"Guinea 2010",1868492199486.93,63107.80501206
"136","Guinea",2014,3092487,55547813411640,"Guinea 2014",2286973341470.63,77241.8893377978
"137","Honduras",2000,529876,18777053503224,"Honduras 2000",1252415925782.76,42300
"138","Honduras",2006,554272,26871260635512,"Honduras 2006",461858331025.16,15599.1368363939
"139","Honduras",2010,568014,31140744408936,"Honduras 2010",466913472530.293,15769.8728365238
