"","Country","Year","Area_harvested_ha","production_kj","code_Area_Year","N_total_kj","N_total_t"
"299","Slovakia",2010,932385,45142083168444,"Slovakia 2010",3485110508745.25,97190.6196439968
"300","Slovakia",2014,997006,79758300808116,"Slovakia 2014",3784029336424.18,105526.684171211
"301","Slovenia",2000,107861,7564201125120,"Slovenia 2000",474070725284.254,13220.5929854558
"302","Slovenia",2006,98991,7297655578812,"Slovenia 2006",415984323466.166,11600.7151160385
"303","Slovenia",2010,97844,8552335831776,"Slovenia 2010",433958022130.198,12101.9545763277
"304","Slovenia",2014,101625,9695072524572,"Slovenia 2014",432040294224.837,12048.4741592898
"305","South_Africa",2000,6191778,261024926156604,"South_Africa 2000",8760989892177.75,295900
"306","South_Africa",2006,4133864,183766312964772,"South_Africa 2006",9331007409508.78,315152.183309656
"307","South_Africa",2010,4655584,260014427867088,"South_Africa 2010",8928609207324.1,301561.295808147
"308","South_Africa",2014,4965597,302311623057156,"South_Africa 2014",10474864929412.5,353785.653306206
"309","Spain",2000,7293317,350255110810932,"Spain 2000",19351360350769.6,672260.729625635
"310","Spain",2006,6396691,267129104334192,"Spain 2006",16311680763759.7,566663.129252793
"311","Spain",2010,6211473,279578881835028,"Spain 2010",16484092610319.6,572652.667541757
"312","Spain",2014,6574438,295092058625244,"Spain 2014",16885215666586.2,586587.567909871
"313","Sri_Lanka",2000,929890,36804492453600,"Sri_Lanka 2000",2592668744705.52,85200
"314","Sri_Lanka",2006,1011033,42901784559360,"Sri_Lanka 2006",1048059204221.72,34441.2082654363
"315","Sri_Lanka",2010,1180770,55871484871320,"Sri_Lanka 2010",995916684088.145,32727.7064058361
"316","Sri_Lanka",2014,1024195,46628845072308,"Sri_Lanka 2014",1016737190963.69,33411.9076519146
"317","Sweden",2000,928393,63357253416000,"Sweden 2000",2732589808378.54,94929.3892031253
"318","Sweden",2006,808400,51231091564800,"Sweden 2006",2101360616123.32,73000.6674153767
"319","Sweden",2010,866100,56669799193200,"Sweden 2010",2334932692480.75,81114.8946131547
"320","Sweden",2014,927200,76340641633200,"Sweden 2014",2477424206217.75,86065.0090885171
"321","Switzerland",2000,200034,17999570604744,"Switzerland 2000",1002786305966.35,34836.5097588978
"322","Switzerland",2006,187546,15700298866128,"Switzerland 2006",100781745699.594,3501.12905081943
"323","Switzerland",2010,176763,14840388677592,"Switzerland 2010",81018351020.4885,2814.55436635148
"324","Switzerland",2014,171401,16732233571644,"Switzerland 2014",88503120252.4992,3074.57311096604
"325","Syrian_Arab_Republic",2000,3097185,51291796145472,"Syrian_Arab_Republic 2000",3298324683976.35,111400
"326","Syrian_Arab_Republic",2006,3191197,90386322289092,"Syrian_Arab_Republic 2006",1651302276115.61,55772.275680728
"327","Syrian_Arab_Republic",2010,3215373,56937695149980,"Syrian_Arab_Republic 2010",1299516938482.75,43890.8236203275
"328","Syrian_Arab_Republic",2014,2576925,39616356042144,"Syrian_Arab_Republic 2014",1218599857233.14,41157.871678089
"329","Thailand",2000,13873315,559451320356564,"Thailand 2000",21992038753505.7,722700
"330","Thailand",2006,13863878,627788301818112,"Thailand 2006",16091225848955.2,528788.124256381
"331","Thailand",2010,16057141,744343781284512,"Thailand 2010",27753794886975.1,912042.207165517
"332","Thailand",2014,15288335,816272938839996,"Thailand 2014",37128494732742.3,1220112.58001605
"333","Togo",2000,887530,15539740277760,"Togo 2000",139157325086.973,4700
"334","Togo",2006,985714,18468614375568,"Togo 2006",479595414377.216,16198.201899642
"335","Togo",2010,1118553,21878459139492,"Togo 2010",473099243107.388,15978.7955194956
"336","Togo",2014,1496626,26652792071736,"Togo 2014",675574495811.88,22817.3409364641
"337","Turkey",2000,14227315,474156099724104,"Turkey 2000",23646111735479.5,821459.165658633
"338","Turkey",2006,13668617,510281613378864,"Turkey 2006",26332515589166.2,914784.067991751
"339","Turkey",2010,12763431,490083059674908,"Turkey 2010",26021976551455.2,903996.030547112
"340","Turkey",2014,12303568,495113230328724,"Turkey 2014",28191463171518.3,979363.375874783
"341","Ukraine",2000,15863700,419622059307600,"Ukraine 2000",7759998933522.85,236473.812112308
"342","Ukraine",2006,19472900,608385076954560,"Ukraine 2006",9286650772215.88,282996.135524551
"343","Ukraine",2010,21508610,736015445449200,"Ukraine 2010",18373896117449.9,559915.703013689
"344","Ukraine",2014,23302000,1200174206664600,"Ukraine 2014",34680976407835.3,1056848.43119105
"345","United_Republic_of_Tanzania",2000,3738240,81831611285676,"United_Republic_of_Tanzania 2000",532942947141.6,18000
"346","United_Republic_of_Tanzania",2006,6326710,123813801817668,"United_Republic_of_Tanzania 2006",3377370425614.72,114069.747966686
"347","United_Republic_of_Tanzania",2010,7243771,160460638014528,"United_Republic_of_Tanzania 2010",3588085528295.14,121186.592027744
"348","United_Republic_of_Tanzania",2014,10839418,247460555841912,"United_Republic_of_Tanzania 2014",5163586842576.28,174398.711278335
"349","United_States_of_America",2000,90288879,6215180145946488,"United_States_of_America 2000",257241469211853,8252700
"350","United_States_of_America",2006,85033417,6316450142716512,"United_States_of_America 2006",259905963000045,8338181.03831464
"351","United_States_of_America",2010,90742570,7295133095032680,"United_States_of_America 2010",250933117473215,8050318.42228253
"352","United_States_of_America",2014,93671726,8166357756700344,"United_States_of_America 2014",255010983236488,8181142.59650169
"353","Uruguay",2000,534852,23978928802500,"Uruguay 2000",1131023365600.51,38200
"354","Uruguay",2006,949030,44960580531756,"Uruguay 2006",478510596172.399,16161.5624661127
"355","Uruguay",2010,1638127,70310418630264,"Uruguay 2010",629008665085.515,21244.5929386341
"356","Uruguay",2014,2218275,92552607610740,"Uruguay 2014",793004436290.751,26783.50455671
"357","Uzbekistan",2000,1589800,59423825991600,"Uzbekistan 2000",1419643977421.24,43261.426458815
"358","Uzbekistan",2006,1669800,95318536476708,"Uzbekistan 2006",1497010177374.79,45619.0402147427
"359","Uzbekistan",2010,1757149,108998707399200,"Uzbekistan 2010",5735704666868.2,174786.615223017
"360","Uzbekistan",2014,1736400,117422804896416,"Uzbekistan 2014",7296590899677.54,222352.17817065
"361","Venezuela_(Bolivarian_Republic_of)",2000,1132141,59049204148548,"Venezuela_(Bolivarian_Republic_of) 2000",2652871559104.85,89600
"362","Venezuela_(Bolivarian_Republic_of)",2006,1417147,74325794207328,"Venezuela_(Bolivarian_Republic_of) 2006",1112051504510.37,37559.2306616421
"363","Venezuela_(Bolivarian_Republic_of)",2010,1335903,67670141661288,"Venezuela_(Bolivarian_Republic_of) 2010",883156335606.679,29828.3599139113
"364","Venezuela_(Bolivarian_Republic_of)",2014,1117303,64443672080352,"Venezuela_(Bolivarian_Republic_of) 2014",953927405642.135,32218.6331457282
"365","Viet_Nam",2000,9335278,448365825045000,"Viet_Nam 2000",27819457352227.6,914200
"366","Viet_Nam",2006,9590012,546931371417840,"Viet_Nam 2006",29819503120417.4,979925.287813089
"367","Viet_Nam",2010,9842513,610823252691396,"Viet_Nam 2010",30076110012919.5,988357.875773207
"368","Viet_Nam",2014,10194770,687249665946756,"Viet_Nam 2014",32422681622882,1065470.65833638
"369","Zambia",2000,1084169,25143929641656,"Zambia 2000",319765768284.96,10800
"370","Zambia",2006,1264354,34144176496860,"Zambia 2006",747645828570.306,25251.5301805652
"371","Zambia",2010,1823886,60303420085392,"Zambia 2010",932289901070.412,31487.8324392362
"372","Zambia",2014,1939445,69359437503072,"Zambia 2014",1077572285617.57,36394.7046210984
"373","Zimbabwe",2000,2030930,39287978786736,"Zimbabwe 2000",3706914276784.91,125200
"374","Zimbabwe",2006,3021830,44934452303940,"Zimbabwe 2006",1866369535491.83,63036.1126252545
"375","Zimbabwe",2010,2373241,28356735265848,"Zimbabwe 2010",1133838219253.88,38295.0709002389
"376","Zimbabwe",2014,1792246,26399239045056,"Zimbabwe 2014",946704871721.674,31974.6940688241
